method,seed,round,split,selected_examples,robust_success,failure_macro_f1,rare_failure_recall,tail_risk,calibration_error,safety_violation_rate,failure_coverage
failure_prediction_active_learning,0,5,hard_regime,1152,0.35556,0.33328,0.49719,0.64444,0.11462,0.14445,0.87500
failure_prediction_active_learning,0,5,combined_extreme,1152,0.35185,0.34756,0.44951,0.64815,0.13840,0.09259,0.87500
failure_prediction_active_learning,1,5,hard_regime,1152,0.44444,0.32779,0.45164,0.55556,0.10318,0.14444,0.87500
failure_prediction_active_learning,1,5,combined_extreme,1152,0.48148,0.35575,0.52028,0.51852,0.11727,0.03704,0.87500
failure_prediction_active_learning,2,5,hard_regime,1152,0.41111,0.32996,0.49251,0.58889,0.18882,0.11111,0.87500
failure_prediction_active_learning,2,5,combined_extreme,1152,0.44444,0.34813,0.50900,0.55556,0.18884,0.07407,0.87500
failure_prediction_active_learning,3,5,hard_regime,1152,0.52222,0.30783,0.43388,0.47778,0.16256,0.10000,1.00000
failure_prediction_active_learning,3,5,combined_extreme,1152,0.64815,0.32159,0.46047,0.35185,0.16960,0.09259,1.00000
failure_prediction_active_learning,4,5,hard_regime,1152,0.54444,0.29759,0.43325,0.45556,0.07667,0.14445,0.87500
failure_prediction_active_learning,4,5,combined_extreme,1152,0.59259,0.32227,0.47889,0.40741,0.06871,0.11111,0.87500
failure_prediction_active_learning,5,5,hard_regime,1152,0.53334,0.30808,0.44167,0.46666,0.14227,0.13333,0.87500
failure_prediction_active_learning,5,5,combined_extreme,1152,0.64815,0.31663,0.49129,0.35185,0.14569,0.05556,0.87500
failure_prediction_active_learning,6,5,hard_regime,1152,0.51111,0.29609,0.43952,0.48889,0.15206,0.11111,1.00000
failure_prediction_active_learning,6,5,combined_extreme,1152,0.57407,0.30393,0.48105,0.42593,0.16068,0.01852,1.00000
failure_prediction_active_learning,7,5,hard_regime,1152,0.47778,0.31859,0.46179,0.52222,0.11625,0.13333,0.87500
failure_prediction_active_learning,7,5,combined_extreme,1152,0.57408,0.31626,0.48084,0.42592,0.13343,0.09259,0.87500
failure_stratified_engine,0,5,hard_regime,1152,0.35556,0.33491,0.52243,0.64444,0.14680,0.14445,0.87500
failure_stratified_engine,0,5,combined_extreme,1152,0.35185,0.34839,0.47443,0.64815,0.15594,0.09259,0.87500
failure_stratified_engine,1,5,hard_regime,1152,0.44444,0.32707,0.49948,0.55556,0.10970,0.14444,0.87500
failure_stratified_engine,1,5,combined_extreme,1152,0.48148,0.35250,0.59557,0.51852,0.13471,0.03704,0.87500
failure_stratified_engine,2,5,hard_regime,1152,0.41111,0.34043,0.56616,0.58889,0.17710,0.11111,0.87500
failure_stratified_engine,2,5,combined_extreme,1152,0.44444,0.34521,0.54783,0.55556,0.17046,0.07407,0.87500
failure_stratified_engine,3,5,hard_regime,1152,0.52222,0.32124,0.51162,0.47778,0.17723,0.10000,1.00000
failure_stratified_engine,3,5,combined_extreme,1152,0.64815,0.34107,0.62001,0.35185,0.22931,0.09259,1.00000
failure_stratified_engine,4,5,hard_regime,1152,0.54444,0.30259,0.48272,0.45556,0.11765,0.14445,0.87500
failure_stratified_engine,4,5,combined_extreme,1152,0.59259,0.32529,0.52703,0.40741,0.13096,0.11111,0.87500
failure_stratified_engine,5,5,hard_regime,1152,0.46667,0.30725,0.46936,0.53333,0.17076,0.17778,1.00000
failure_stratified_engine,5,5,combined_extreme,1152,0.55556,0.31562,0.55969,0.44444,0.20129,0.07408,1.00000
failure_stratified_engine,6,5,hard_regime,1152,0.51111,0.29729,0.50514,0.48889,0.19145,0.11111,1.00000
failure_stratified_engine,6,5,combined_extreme,1152,0.57407,0.29971,0.53068,0.42593,0.21024,0.01852,1.00000
failure_stratified_engine,7,5,hard_regime,1152,0.47778,0.31917,0.49286,0.52222,0.13774,0.13333,0.87500
failure_stratified_engine,7,5,combined_extreme,1152,0.57408,0.30669,0.49569,0.42592,0.16220,0.09259,0.87500
failure_stratified_engine_v5,0,5,hard_regime,1152,0.35556,0.34536,0.55561,0.64444,0.11258,0.14445,1.00000
failure_stratified_engine_v5,0,5,combined_extreme,1152,0.35185,0.36089,0.55793,0.64815,0.14130,0.09259,1.00000
failure_stratified_engine_v5,1,5,hard_regime,1152,0.44444,0.32674,0.47804,0.55556,0.09802,0.14444,0.87500
failure_stratified_engine_v5,1,5,combined_extreme,1152,0.48148,0.35342,0.59877,0.51852,0.10732,0.03704,0.87500
failure_stratified_engine_v5,2,5,hard_regime,1152,0.41111,0.33463,0.50709,0.58889,0.14534,0.11111,1.00000
failure_stratified_engine_v5,2,5,combined_extreme,1152,0.44444,0.34647,0.54282,0.55556,0.14635,0.07407,1.00000
failure_stratified_engine_v5,3,5,hard_regime,1152,0.52222,0.31015,0.49260,0.47778,0.15692,0.10000,1.00000
failure_stratified_engine_v5,3,5,combined_extreme,1152,0.64815,0.33097,0.60151,0.35185,0.17482,0.09259,1.00000
failure_stratified_engine_v5,4,5,hard_regime,1152,0.54444,0.31428,0.49448,0.45556,0.10040,0.14445,0.87500
failure_stratified_engine_v5,4,5,combined_extreme,1152,0.59259,0.33766,0.55585,0.40741,0.11096,0.11111,0.87500
failure_stratified_engine_v5,5,5,hard_regime,1152,0.46667,0.30592,0.45302,0.53333,0.14109,0.17778,1.00000
failure_stratified_engine_v5,5,5,combined_extreme,1152,0.55556,0.32045,0.54860,0.44444,0.15100,0.07408,1.00000
failure_stratified_engine_v5,6,5,hard_regime,1152,0.51111,0.29652,0.43005,0.48889,0.14553,0.11111,1.00000
failure_stratified_engine_v5,6,5,combined_extreme,1152,0.57407,0.30208,0.47679,0.42593,0.16310,0.01852,1.00000
failure_stratified_engine_v5,7,5,hard_regime,1152,0.47778,0.31288,0.49212,0.52222,0.12049,0.13333,1.00000
failure_stratified_engine_v5,7,5,combined_extreme,1152,0.57408,0.30828,0.53481,0.42592,0.16326,0.09259,1.00000
gradient_boosted_failure_active,0,5,hard_regime,1152,0.35556,0.34951,0.58072,0.64444,0.09758,0.14445,0.87500
gradient_boosted_failure_active,0,5,combined_extreme,1152,0.35185,0.36756,0.56186,0.64815,0.10901,0.09259,0.87500
gradient_boosted_failure_active,1,5,hard_regime,1152,0.44444,0.32599,0.43828,0.55556,0.09487,0.14444,0.87500
gradient_boosted_failure_active,1,5,combined_extreme,1152,0.48148,0.35120,0.52056,0.51852,0.10911,0.03704,0.87500
gradient_boosted_failure_active,2,5,hard_regime,1152,0.41111,0.34192,0.53258,0.58889,0.15155,0.11111,0.87500
gradient_boosted_failure_active,2,5,combined_extreme,1152,0.44444,0.35553,0.55609,0.55556,0.13813,0.07407,0.87500
gradient_boosted_failure_active,3,5,hard_regime,1152,0.52222,0.34876,0.49309,0.47778,0.16263,0.10000,1.00000
gradient_boosted_failure_active,3,5,combined_extreme,1152,0.64815,0.38550,0.59706,0.35185,0.19352,0.09259,1.00000
gradient_boosted_failure_active,4,5,hard_regime,1152,0.54444,0.31330,0.48276,0.45556,0.10218,0.14445,0.87500
gradient_boosted_failure_active,4,5,combined_extreme,1152,0.59259,0.33533,0.53074,0.40741,0.11004,0.11111,0.87500
gradient_boosted_failure_active,5,5,hard_regime,1152,0.53334,0.31116,0.53377,0.46666,0.14386,0.13333,0.87500
gradient_boosted_failure_active,5,5,combined_extreme,1152,0.64815,0.32400,0.60820,0.35185,0.16663,0.05556,0.87500
gradient_boosted_failure_active,6,5,hard_regime,1152,0.51111,0.29909,0.49669,0.48889,0.16903,0.11111,1.00000
gradient_boosted_failure_active,6,5,combined_extreme,1152,0.57407,0.30045,0.54642,0.42593,0.19278,0.01852,1.00000
gradient_boosted_failure_active,7,5,hard_regime,1152,0.47778,0.31513,0.50815,0.52222,0.11653,0.13333,0.87500
gradient_boosted_failure_active,7,5,combined_extreme,1152,0.57408,0.30777,0.54040,0.42592,0.16340,0.09259,0.87500
greedy_oracle_success_upper,0,5,hard_regime,1152,0.35556,0.33188,0.53158,0.64444,0.12305,0.14445,1.00000
greedy_oracle_success_upper,0,5,combined_extreme,1152,0.35185,0.34420,0.47072,0.64815,0.13623,0.09259,1.00000
greedy_oracle_success_upper,1,5,hard_regime,1152,0.44444,0.33202,0.50088,0.55556,0.08600,0.14444,0.87500
greedy_oracle_success_upper,1,5,combined_extreme,1152,0.48148,0.34302,0.55773,0.51852,0.10521,0.03704,0.87500
greedy_oracle_success_upper,2,5,hard_regime,1152,0.41111,0.33294,0.55332,0.58889,0.17791,0.11111,1.00000
greedy_oracle_success_upper,2,5,combined_extreme,1152,0.44444,0.33523,0.52993,0.55556,0.17045,0.07407,1.00000
greedy_oracle_success_upper,3,5,hard_regime,1152,0.52222,0.31519,0.55367,0.47778,0.14211,0.10000,1.00000
greedy_oracle_success_upper,3,5,combined_extreme,1152,0.64815,0.30689,0.55383,0.35185,0.19998,0.09259,1.00000
greedy_oracle_success_upper,4,5,hard_regime,1152,0.54444,0.30327,0.53488,0.45556,0.11438,0.14445,0.87500
greedy_oracle_success_upper,4,5,combined_extreme,1152,0.59259,0.32885,0.57185,0.40741,0.08777,0.11111,0.87500
greedy_oracle_success_upper,5,5,hard_regime,1152,0.53334,0.31885,0.56533,0.46666,0.13774,0.13333,0.87500
greedy_oracle_success_upper,5,5,combined_extreme,1152,0.64815,0.30408,0.53482,0.35185,0.16417,0.05556,0.87500
greedy_oracle_success_upper,6,5,hard_regime,1152,0.51111,0.29617,0.52073,0.48889,0.19076,0.11111,1.00000
greedy_oracle_success_upper,6,5,combined_extreme,1152,0.57407,0.29927,0.57861,0.42593,0.20746,0.01852,1.00000
greedy_oracle_success_upper,7,5,hard_regime,1152,0.47778,0.32448,0.52929,0.52222,0.13005,0.13333,1.00000
greedy_oracle_success_upper,7,5,combined_extreme,1152,0.57408,0.31061,0.51717,0.42592,0.16604,0.09259,1.00000
hybrid_diversity_risk,0,5,hard_regime,1152,0.35556,0.34433,0.53763,0.64444,0.11925,0.14445,0.87500
hybrid_diversity_risk,0,5,combined_extreme,1152,0.35185,0.35739,0.48988,0.64815,0.13603,0.09259,0.87500
hybrid_diversity_risk,1,5,hard_regime,1152,0.44444,0.32344,0.43696,0.55556,0.09717,0.14444,0.87500
hybrid_diversity_risk,1,5,combined_extreme,1152,0.48148,0.34348,0.51824,0.51852,0.10410,0.03704,0.87500
hybrid_diversity_risk,2,5,hard_regime,1152,0.41111,0.33723,0.53225,0.58889,0.15827,0.11111,1.00000
hybrid_diversity_risk,2,5,combined_extreme,1152,0.44444,0.34363,0.53415,0.55556,0.17329,0.07407,1.00000
hybrid_diversity_risk,3,5,hard_regime,1152,0.52222,0.32627,0.50738,0.47778,0.13993,0.10000,1.00000
hybrid_diversity_risk,3,5,combined_extreme,1152,0.64815,0.34493,0.60859,0.35185,0.15166,0.09259,1.00000
hybrid_diversity_risk,4,5,hard_regime,1152,0.54444,0.31417,0.47315,0.45556,0.07810,0.14445,0.87500
hybrid_diversity_risk,4,5,combined_extreme,1152,0.59259,0.33678,0.52296,0.40741,0.07535,0.11111,0.87500
hybrid_diversity_risk,5,5,hard_regime,1152,0.53334,0.31877,0.48355,0.46666,0.13393,0.13333,0.87500
hybrid_diversity_risk,5,5,combined_extreme,1152,0.64815,0.32844,0.57442,0.35185,0.14908,0.05556,0.87500
hybrid_diversity_risk,6,5,hard_regime,1152,0.51111,0.30239,0.48248,0.48889,0.15528,0.11111,1.00000
hybrid_diversity_risk,6,5,combined_extreme,1152,0.57407,0.30341,0.54093,0.42593,0.20297,0.01852,1.00000
hybrid_diversity_risk,7,5,hard_regime,1152,0.47778,0.32181,0.49083,0.52222,0.11123,0.13333,0.87500
hybrid_diversity_risk,7,5,combined_extreme,1152,0.57408,0.31662,0.52313,0.42592,0.13554,0.09259,0.87500
oracle_failure_strata,0,5,hard_regime,1152,0.35556,0.32882,0.51834,0.64444,0.13874,0.14445,1.00000
oracle_failure_strata,0,5,combined_extreme,1152,0.35185,0.33877,0.45275,0.64815,0.15500,0.09259,1.00000
oracle_failure_strata,1,5,hard_regime,1152,0.44444,0.32179,0.47155,0.55556,0.09173,0.14444,1.00000
oracle_failure_strata,1,5,combined_extreme,1152,0.48148,0.33591,0.53262,0.51852,0.10636,0.03704,1.00000
oracle_failure_strata,2,5,hard_regime,1152,0.41111,0.33187,0.55412,0.58889,0.20268,0.11111,1.00000
oracle_failure_strata,2,5,combined_extreme,1152,0.44444,0.33533,0.54477,0.55556,0.19035,0.07407,1.00000
oracle_failure_strata,3,5,hard_regime,1152,0.52222,0.31332,0.53813,0.47778,0.14161,0.10000,1.00000
oracle_failure_strata,3,5,combined_extreme,1152,0.64815,0.30639,0.54320,0.35185,0.19241,0.09259,1.00000
oracle_failure_strata,4,5,hard_regime,1152,0.54444,0.30637,0.52059,0.45556,0.10732,0.14445,0.87500
oracle_failure_strata,4,5,combined_extreme,1152,0.59259,0.32758,0.54037,0.40741,0.08271,0.11111,0.87500
oracle_failure_strata,5,5,hard_regime,1152,0.53334,0.31461,0.57171,0.46666,0.13981,0.13333,1.00000
oracle_failure_strata,5,5,combined_extreme,1152,0.64815,0.30361,0.56604,0.35185,0.15547,0.05556,1.00000
oracle_failure_strata,6,5,hard_regime,1152,0.51111,0.29245,0.50948,0.48889,0.17865,0.11111,1.00000
oracle_failure_strata,6,5,combined_extreme,1152,0.57407,0.29687,0.57320,0.42593,0.19907,0.01852,1.00000
oracle_failure_strata,7,5,hard_regime,1152,0.47778,0.32395,0.52742,0.52222,0.11835,0.13333,1.00000
oracle_failure_strata,7,5,combined_extreme,1152,0.57408,0.31252,0.51717,0.42592,0.13954,0.09259,1.00000
random_forest_failure_active,0,5,hard_regime,1152,0.35556,0.33836,0.54204,0.64444,0.10471,0.14445,0.87500
random_forest_failure_active,0,5,combined_extreme,1152,0.35185,0.35860,0.54066,0.64815,0.12895,0.09259,0.87500
random_forest_failure_active,1,5,hard_regime,1152,0.44444,0.32378,0.50441,0.55556,0.08794,0.14444,0.87500
random_forest_failure_active,1,5,combined_extreme,1152,0.48148,0.35332,0.55186,0.51852,0.09694,0.03704,0.87500
random_forest_failure_active,2,5,hard_regime,1152,0.41111,0.33769,0.53375,0.58889,0.16165,0.11111,0.87500
random_forest_failure_active,2,5,combined_extreme,1152,0.44444,0.35592,0.58178,0.55556,0.16809,0.07407,0.87500
random_forest_failure_active,3,5,hard_regime,1152,0.52222,0.29550,0.45729,0.47778,0.16887,0.10000,1.00000
random_forest_failure_active,3,5,combined_extreme,1152,0.64815,0.31046,0.50590,0.35185,0.18388,0.09259,1.00000
random_forest_failure_active,4,5,hard_regime,1152,0.54444,0.31032,0.47112,0.45556,0.10058,0.14445,0.87500
random_forest_failure_active,4,5,combined_extreme,1152,0.59259,0.33318,0.54511,0.40741,0.12591,0.11111,0.87500
random_forest_failure_active,5,5,hard_regime,1152,0.53334,0.31215,0.47584,0.46666,0.16305,0.13333,0.87500
random_forest_failure_active,5,5,combined_extreme,1152,0.64815,0.32351,0.57989,0.35185,0.17972,0.05556,0.87500
random_forest_failure_active,6,5,hard_regime,1152,0.51111,0.29648,0.48308,0.48889,0.15931,0.11111,1.00000
random_forest_failure_active,6,5,combined_extreme,1152,0.57407,0.30349,0.56793,0.42593,0.19555,0.01852,1.00000
random_forest_failure_active,7,5,hard_regime,1152,0.47778,0.30971,0.46341,0.52222,0.12213,0.13333,0.87500
random_forest_failure_active,7,5,combined_extreme,1152,0.57408,0.30831,0.50508,0.42592,0.16111,0.09259,0.87500
random_sampling,0,5,hard_regime,1152,0.35556,0.34634,0.54791,0.64444,0.11961,0.14445,0.87500
random_sampling,0,5,combined_extreme,1152,0.35185,0.36351,0.51284,0.64815,0.13028,0.09259,0.87500
random_sampling,1,5,hard_regime,1152,0.44444,0.32263,0.45624,0.55556,0.09546,0.14444,0.87500
random_sampling,1,5,combined_extreme,1152,0.48148,0.34489,0.52015,0.51852,0.11395,0.03704,0.87500
random_sampling,2,5,hard_regime,1152,0.41111,0.33444,0.51979,0.58889,0.15925,0.11111,0.87500
random_sampling,2,5,combined_extreme,1152,0.44444,0.35017,0.54544,0.55556,0.15617,0.07407,0.87500
random_sampling,3,5,hard_regime,1152,0.52222,0.33812,0.52651,0.47778,0.14024,0.10000,1.00000
random_sampling,3,5,combined_extreme,1152,0.64815,0.36150,0.61105,0.35185,0.17440,0.09259,1.00000
random_sampling,4,5,hard_regime,1152,0.54444,0.31076,0.46920,0.45556,0.09291,0.14445,0.87500
random_sampling,4,5,combined_extreme,1152,0.59259,0.33021,0.49666,0.40741,0.08840,0.11111,0.87500
random_sampling,5,5,hard_regime,1152,0.53334,0.31180,0.48468,0.46666,0.14579,0.13333,0.87500
random_sampling,5,5,combined_extreme,1152,0.64815,0.32056,0.57672,0.35185,0.16275,0.05556,0.87500
random_sampling,6,5,hard_regime,1152,0.51111,0.29851,0.49215,0.48889,0.15383,0.11111,1.00000
random_sampling,6,5,combined_extreme,1152,0.57407,0.30394,0.55352,0.42593,0.18843,0.01852,1.00000
random_sampling,7,5,hard_regime,1152,0.47778,0.32013,0.50019,0.52222,0.11170,0.13333,0.87500
random_sampling,7,5,combined_extreme,1152,0.57408,0.31284,0.52889,0.42592,0.14929,0.09259,0.87500
state_diversity_coreset,0,5,hard_regime,1152,0.35556,0.34054,0.54517,0.64444,0.12270,0.14445,1.00000
state_diversity_coreset,0,5,combined_extreme,1152,0.35185,0.35206,0.49062,0.64815,0.14631,0.09259,1.00000
state_diversity_coreset,1,5,hard_regime,1152,0.44444,0.32083,0.47465,0.55556,0.09161,0.14444,1.00000
state_diversity_coreset,1,5,combined_extreme,1152,0.48148,0.34145,0.52818,0.51852,0.10700,0.03704,1.00000
state_diversity_coreset,2,5,hard_regime,1152,0.41111,0.32560,0.52735,0.58889,0.16214,0.11111,1.00000
state_diversity_coreset,2,5,combined_extreme,1152,0.44444,0.34045,0.55459,0.55556,0.16858,0.07407,1.00000
state_diversity_coreset,3,5,hard_regime,1152,0.52222,0.31674,0.51979,0.47778,0.13519,0.10000,1.00000
state_diversity_coreset,3,5,combined_extreme,1152,0.64815,0.30773,0.50387,0.35185,0.17250,0.09259,1.00000
state_diversity_coreset,4,5,hard_regime,1152,0.44444,0.30392,0.49586,0.55556,0.08534,0.11111,0.87500
state_diversity_coreset,4,5,combined_extreme,1152,0.44444,0.33269,0.54481,0.55556,0.08292,0.07408,0.87500
state_diversity_coreset,5,5,hard_regime,1152,0.53334,0.31451,0.53950,0.46666,0.14596,0.13333,1.00000
state_diversity_coreset,5,5,combined_extreme,1152,0.64815,0.31359,0.55564,0.35185,0.15883,0.05556,1.00000
state_diversity_coreset,6,5,hard_regime,1152,0.51111,0.30143,0.51658,0.48889,0.14961,0.11111,1.00000
state_diversity_coreset,6,5,combined_extreme,1152,0.57407,0.30705,0.57259,0.42593,0.18094,0.01852,1.00000
state_diversity_coreset,7,5,hard_regime,1152,0.47778,0.31094,0.51417,0.52222,0.11538,0.13333,1.00000
state_diversity_coreset,7,5,combined_extreme,1152,0.57408,0.30351,0.54943,0.42592,0.14420,0.09259,1.00000
tail_risk_active_learning,0,5,hard_regime,1152,0.35556,0.33920,0.51949,0.64444,0.13007,0.14445,0.87500
tail_risk_active_learning,0,5,combined_extreme,1152,0.35185,0.35099,0.47155,0.64815,0.15611,0.09259,0.87500
tail_risk_active_learning,1,5,hard_regime,1152,0.44444,0.32181,0.42164,0.55556,0.11380,0.14444,0.87500
tail_risk_active_learning,1,5,combined_extreme,1152,0.48148,0.34054,0.48873,0.51852,0.12113,0.03704,0.87500
tail_risk_active_learning,2,5,hard_regime,1152,0.41111,0.33576,0.51221,0.58889,0.17851,0.11111,0.87500
tail_risk_active_learning,2,5,combined_extreme,1152,0.44444,0.34572,0.51409,0.55556,0.19294,0.07407,0.87500
tail_risk_active_learning,3,5,hard_regime,1152,0.52222,0.35003,0.48982,0.47778,0.14293,0.10000,1.00000
tail_risk_active_learning,3,5,combined_extreme,1152,0.64815,0.38119,0.57400,0.35185,0.14903,0.09259,1.00000
tail_risk_active_learning,4,5,hard_regime,1152,0.54444,0.30876,0.45358,0.45556,0.08456,0.14445,0.87500
tail_risk_active_learning,4,5,combined_extreme,1152,0.59259,0.32023,0.48889,0.40741,0.08603,0.11111,0.87500
tail_risk_active_learning,5,5,hard_regime,1152,0.53334,0.32702,0.45985,0.46666,0.13034,0.13333,0.87500
tail_risk_active_learning,5,5,combined_extreme,1152,0.64815,0.33468,0.51217,0.35185,0.14120,0.05556,0.87500
tail_risk_active_learning,6,5,hard_regime,1152,0.51111,0.30510,0.47599,0.48889,0.14005,0.11111,1.00000
tail_risk_active_learning,6,5,combined_extreme,1152,0.57407,0.30463,0.52367,0.42593,0.17102,0.01852,1.00000
tail_risk_active_learning,7,5,hard_regime,1152,0.47778,0.33161,0.49922,0.52222,0.11460,0.13333,0.87500
tail_risk_active_learning,7,5,combined_extreme,1152,0.57408,0.33107,0.51595,0.42592,0.14525,0.09259,0.87500
task_label_stratification,0,5,hard_regime,1152,0.35556,0.34319,0.53229,0.64444,0.10496,0.14445,0.87500
task_label_stratification,0,5,combined_extreme,1152,0.35185,0.35758,0.48670,0.64815,0.12234,0.09259,0.87500
task_label_stratification,1,5,hard_regime,1152,0.44444,0.32313,0.44932,0.55556,0.08689,0.14444,0.87500
task_label_stratification,1,5,combined_extreme,1152,0.48148,0.33784,0.50301,0.51852,0.10375,0.03704,0.87500
task_label_stratification,2,5,hard_regime,1152,0.41111,0.33062,0.52150,0.58889,0.16182,0.11111,0.87500
task_label_stratification,2,5,combined_extreme,1152,0.44444,0.34400,0.54834,0.55556,0.16084,0.07407,0.87500
task_label_stratification,3,5,hard_regime,1152,0.52222,0.30906,0.46169,0.47778,0.14861,0.10000,1.00000
task_label_stratification,3,5,combined_extreme,1152,0.64815,0.31485,0.50802,0.35185,0.18079,0.09259,1.00000
task_label_stratification,4,5,hard_regime,1152,0.54444,0.31109,0.47953,0.45556,0.08674,0.14445,0.87500
task_label_stratification,4,5,combined_extreme,1152,0.59259,0.33710,0.52148,0.40741,0.08004,0.11111,0.87500
task_label_stratification,5,5,hard_regime,1152,0.45555,0.31293,0.51156,0.54445,0.13108,0.02222,0.87500
task_label_stratification,5,5,combined_extreme,1152,0.51852,0.31915,0.60106,0.48148,0.14776,0.01852,0.87500
task_label_stratification,6,5,hard_regime,1152,0.51111,0.29924,0.48494,0.48889,0.15159,0.11111,1.00000
task_label_stratification,6,5,combined_extreme,1152,0.57407,0.30842,0.55238,0.42593,0.17183,0.01852,1.00000
task_label_stratification,7,5,hard_regime,1152,0.47778,0.32146,0.50078,0.52222,0.11086,0.13333,0.87500
task_label_stratification,7,5,combined_extreme,1152,0.57408,0.31752,0.53111,0.42592,0.14276,0.09259,0.87500
uncertainty_sampling,0,5,hard_regime,1152,0.35556,0.33305,0.50367,0.64444,0.09731,0.14445,0.87500
uncertainty_sampling,0,5,combined_extreme,1152,0.35185,0.34773,0.47775,0.64815,0.10745,0.09259,0.87500
uncertainty_sampling,1,5,hard_regime,1152,0.44444,0.32930,0.47175,0.55556,0.09747,0.14444,0.87500
uncertainty_sampling,1,5,combined_extreme,1152,0.48148,0.35553,0.56927,0.51852,0.10548,0.03704,0.87500
uncertainty_sampling,2,5,hard_regime,1152,0.41111,0.33360,0.52142,0.58889,0.15720,0.11111,0.87500
uncertainty_sampling,2,5,combined_extreme,1152,0.44444,0.35337,0.56612,0.55556,0.14587,0.07407,0.87500
uncertainty_sampling,3,5,hard_regime,1152,0.52222,0.32308,0.46581,0.47778,0.16646,0.10000,1.00000
uncertainty_sampling,3,5,combined_extreme,1152,0.64815,0.34643,0.54906,0.35185,0.19698,0.09259,1.00000
uncertainty_sampling,4,5,hard_regime,1152,0.54444,0.30850,0.44937,0.45556,0.09491,0.14445,0.87500
uncertainty_sampling,4,5,combined_extreme,1152,0.59259,0.32795,0.47000,0.40741,0.09171,0.11111,0.87500
