method,seed,round,split,selected_examples,robust_success,failure_macro_f1,rare_failure_recall,tail_risk,calibration_error,safety_violation_rate,failure_coverage
balanced_failure_replay,0,5,hard_regime,1152,0.35556,0.34543,0.53579,0.64444,0.10038,0.14445,0.87500
balanced_failure_replay,0,5,combined_extreme,1152,0.35185,0.36689,0.53432,0.64815,0.12296,0.09259,0.87500
balanced_failure_replay,1,5,hard_regime,1152,0.44444,0.33453,0.48148,0.55556,0.09184,0.14444,0.87500
balanced_failure_replay,1,5,combined_extreme,1152,0.48148,0.35875,0.59836,0.51852,0.10071,0.03704,0.87500
balanced_failure_replay,2,5,hard_regime,1152,0.41111,0.34184,0.53063,0.58889,0.15514,0.11111,0.87500
balanced_failure_replay,2,5,combined_extreme,1152,0.44444,0.35913,0.56269,0.55556,0.14885,0.07407,0.87500
balanced_failure_replay,3,5,hard_regime,1152,0.52222,0.32287,0.51192,0.47778,0.15318,0.10000,1.00000
balanced_failure_replay,3,5,combined_extreme,1152,0.64815,0.34476,0.61032,0.35185,0.17176,0.09259,1.00000
balanced_failure_replay,4,5,hard_regime,1152,0.54444,0.31053,0.46446,0.45556,0.09161,0.14445,0.87500
balanced_failure_replay,4,5,combined_extreme,1152,0.59259,0.33502,0.50703,0.40741,0.09797,0.11111,0.87500
balanced_failure_replay,5,5,hard_regime,1152,0.53334,0.31232,0.46694,0.46666,0.15745,0.13333,0.87500
balanced_failure_replay,5,5,combined_extreme,1152,0.64815,0.32230,0.54154,0.35185,0.17829,0.05556,0.87500
balanced_failure_replay,6,5,hard_regime,1152,0.51111,0.29302,0.43572,0.48889,0.15851,0.11111,1.00000
balanced_failure_replay,6,5,combined_extreme,1152,0.57407,0.30179,0.48679,0.42593,0.17976,0.01852,1.00000
balanced_failure_replay,7,5,hard_regime,1152,0.47778,0.33278,0.53637,0.52222,0.11786,0.13333,0.87500
balanced_failure_replay,7,5,combined_extreme,1152,0.57408,0.33242,0.57872,0.42592,0.16039,0.09259,0.87500
calibrated_failure_risk,0,5,hard_regime,1152,0.35556,0.33490,0.49893,0.64444,0.11520,0.14445,0.87500
calibrated_failure_risk,0,5,combined_extreme,1152,0.35185,0.35143,0.45343,0.64815,0.13685,0.09259,0.87500
calibrated_failure_risk,1,5,hard_regime,1152,0.44444,0.32820,0.45275,0.55556,0.09842,0.14444,0.87500
calibrated_failure_risk,1,5,combined_extreme,1152,0.48148,0.35799,0.52399,0.51852,0.10872,0.03704,0.87500
calibrated_failure_risk,2,5,hard_regime,1152,0.41111,0.33087,0.50085,0.58889,0.17877,0.11111,0.87500
calibrated_failure_risk,2,5,combined_extreme,1152,0.44444,0.35009,0.51480,0.55556,0.18413,0.07407,0.87500
calibrated_failure_risk,3,5,hard_regime,1152,0.52222,0.30739,0.42894,0.47778,0.16120,0.10000,1.00000
calibrated_failure_risk,3,5,combined_extreme,1152,0.64815,0.31990,0.45016,0.35185,0.16726,0.09259,1.00000
calibrated_failure_risk,4,5,hard_regime,1152,0.54444,0.29669,0.43251,0.45556,0.08535,0.14445,0.87500
calibrated_failure_risk,4,5,combined_extreme,1152,0.59259,0.32082,0.47889,0.40741,0.08147,0.11111,0.87500
calibrated_failure_risk,5,5,hard_regime,1152,0.53334,0.30764,0.43518,0.46666,0.14092,0.13333,0.87500
calibrated_failure_risk,5,5,combined_extreme,1152,0.64815,0.31683,0.48653,0.35185,0.14422,0.05556,0.87500
calibrated_failure_risk,6,5,hard_regime,1152,0.51111,0.30217,0.44220,0.48889,0.15254,0.11111,1.00000
calibrated_failure_risk,6,5,combined_extreme,1152,0.57407,0.30444,0.47086,0.42593,0.16759,0.01852,1.00000
calibrated_failure_risk,7,5,hard_regime,1152,0.47778,0.31865,0.45727,0.52222,0.10931,0.13333,0.87500
calibrated_failure_risk,7,5,combined_extreme,1152,0.57408,0.31554,0.47330,0.42592,0.13125,0.09259,0.87500
