split,reference,comparison,paired_success_diff,ci95_success_diff,paired_macro_f1_diff,paired_rare_recall_diff,paired_safety_reduction,reference_better_seeds,seeds
actuator_limit_failures,failure_stratified_engine_v5,balanced_failure_replay,-0.00695,0.01361,0.00378,0.00000,0.00000,0,8
actuator_limit_failures,failure_stratified_engine_v5,calibrated_failure_risk,-0.00695,0.01361,0.05460,0.00000,0.00000,0,8
actuator_limit_failures,failure_stratified_engine_v5,failure_prediction_active_learning,-0.00695,0.01361,0.05700,0.00000,0.00000,0,8
actuator_limit_failures,failure_stratified_engine_v5,failure_stratified_engine,0.00000,0.00000,0.00713,0.00000,0.00000,0,8
actuator_limit_failures,failure_stratified_engine_v5,gradient_boosted_failure_active,-0.00695,0.01361,-0.00138,0.00000,0.00000,0,8
actuator_limit_failures,failure_stratified_engine_v5,greedy_oracle_success_upper,-0.00695,0.01361,0.02631,0.00000,0.00000,0,8
actuator_limit_failures,failure_stratified_engine_v5,hybrid_diversity_risk,-0.00695,0.01361,0.00629,0.00000,0.00000,0,8
actuator_limit_failures,failure_stratified_engine_v5,oracle_failure_strata,-0.00695,0.01361,0.01738,0.00000,0.00000,0,8
actuator_limit_failures,failure_stratified_engine_v5,random_forest_failure_active,-0.00695,0.01361,0.00465,0.00000,0.00000,0,8
actuator_limit_failures,failure_stratified_engine_v5,random_sampling,-0.00695,0.01361,0.01415,0.00000,0.00000,0,8
actuator_limit_failures,failure_stratified_engine_v5,state_diversity_coreset,-0.00695,0.01361,0.00568,0.00000,0.00000,0,8
actuator_limit_failures,failure_stratified_engine_v5,tail_risk_active_learning,-0.00695,0.01361,0.01045,0.00000,0.00000,0,8
actuator_limit_failures,failure_stratified_engine_v5,task_label_stratification,0.00694,0.01361,-0.00170,0.00000,0.00000,1,8
actuator_limit_failures,failure_stratified_engine_v5,uncertainty_sampling,-0.00695,0.01361,-0.00026,0.00000,0.00000,0,8
combined_tail_stress,failure_stratified_engine_v5,balanced_failure_replay,0.01389,0.02722,-0.00159,-0.01010,0.00000,1,8
combined_tail_stress,failure_stratified_engine_v5,calibrated_failure_risk,0.01389,0.02722,-0.00823,0.00433,0.00000,1,8
combined_tail_stress,failure_stratified_engine_v5,failure_prediction_active_learning,0.01389,0.02722,-0.00838,0.00244,0.00000,1,8
combined_tail_stress,failure_stratified_engine_v5,failure_stratified_engine,0.00000,0.00000,-0.00015,-0.02422,0.00000,0,8
combined_tail_stress,failure_stratified_engine_v5,gradient_boosted_failure_active,0.01389,0.02722,-0.00088,0.00081,0.00000,1,8
combined_tail_stress,failure_stratified_engine_v5,greedy_oracle_success_upper,0.01389,0.02722,0.00393,-0.04336,0.00000,1,8
combined_tail_stress,failure_stratified_engine_v5,hybrid_diversity_risk,0.01389,0.02722,0.00548,-0.00130,0.00000,1,8
combined_tail_stress,failure_stratified_engine_v5,oracle_failure_strata,0.01389,0.02722,0.00421,-0.03302,0.00000,1,8
combined_tail_stress,failure_stratified_engine_v5,random_forest_failure_active,0.01389,0.02722,-0.00948,-0.00640,0.00000,1,8
combined_tail_stress,failure_stratified_engine_v5,random_sampling,0.01389,0.02722,-0.00461,-0.02723,0.00000,1,8
combined_tail_stress,failure_stratified_engine_v5,state_diversity_coreset,0.01389,0.02722,0.00687,-0.01398,-0.00694,1,8
combined_tail_stress,failure_stratified_engine_v5,tail_risk_active_learning,0.01389,0.02722,0.00219,0.00434,0.00000,1,8
combined_tail_stress,failure_stratified_engine_v5,task_label_stratification,0.00695,0.01361,-0.00572,-0.02643,-0.01389,1,8
combined_tail_stress,failure_stratified_engine_v5,uncertainty_sampling,0.01389,0.02722,-0.01194,-0.01403,0.00000,1,8
compound_sensor_actuator_shift,failure_stratified_engine_v5,balanced_failure_replay,-0.00694,0.01361,-0.00559,-0.02890,-0.01389,0,8
compound_sensor_actuator_shift,failure_stratified_engine_v5,calibrated_failure_risk,-0.00694,0.01361,0.00390,-0.04241,-0.01389,0,8
compound_sensor_actuator_shift,failure_stratified_engine_v5,failure_prediction_active_learning,-0.00694,0.01361,0.00702,-0.04053,-0.01389,0,8
compound_sensor_actuator_shift,failure_stratified_engine_v5,failure_stratified_engine,0.00000,0.00000,-0.01087,-0.12569,0.00000,0,8
compound_sensor_actuator_shift,failure_stratified_engine_v5,gradient_boosted_failure_active,-0.00694,0.01361,-0.01038,-0.06291,-0.01389,0,8
compound_sensor_actuator_shift,failure_stratified_engine_v5,greedy_oracle_success_upper,-0.00694,0.01361,-0.03419,-0.26588,-0.01389,0,8
compound_sensor_actuator_shift,failure_stratified_engine_v5,hybrid_diversity_risk,-0.00694,0.01361,-0.01951,-0.05813,-0.01389,0,8
compound_sensor_actuator_shift,failure_stratified_engine_v5,oracle_failure_strata,-0.00694,0.01361,-0.02695,-0.24449,-0.01389,0,8
compound_sensor_actuator_shift,failure_stratified_engine_v5,random_forest_failure_active,-0.00694,0.01361,0.01349,-0.01045,-0.01389,0,8
compound_sensor_actuator_shift,failure_stratified_engine_v5,random_sampling,-0.00694,0.01361,-0.00720,-0.07784,-0.01389,0,8
compound_sensor_actuator_shift,failure_stratified_engine_v5,state_diversity_coreset,0.00000,0.02058,-0.01350,-0.14553,-0.01389,1,8
compound_sensor_actuator_shift,failure_stratified_engine_v5,tail_risk_active_learning,-0.00694,0.01361,-0.02735,-0.06923,-0.01389,0,8
compound_sensor_actuator_shift,failure_stratified_engine_v5,task_label_stratification,-0.01389,0.02722,-0.01092,-0.08351,-0.04167,0,8
compound_sensor_actuator_shift,failure_stratified_engine_v5,uncertainty_sampling,-0.00694,0.01361,0.00010,-0.01735,-0.01389,0,8
fixture_geometry_shift,failure_stratified_engine_v5,balanced_failure_replay,0.00000,0.00000,-0.00087,-0.00779,-0.00694,0,8
fixture_geometry_shift,failure_stratified_engine_v5,calibrated_failure_risk,0.00000,0.00000,-0.00010,-0.01053,-0.00694,0,8
fixture_geometry_shift,failure_stratified_engine_v5,failure_prediction_active_learning,0.00000,0.00000,-0.00051,-0.00690,-0.00694,0,8
fixture_geometry_shift,failure_stratified_engine_v5,failure_stratified_engine,0.00000,0.00000,-0.00093,0.00915,0.00000,0,8
fixture_geometry_shift,failure_stratified_engine_v5,gradient_boosted_failure_active,0.00000,0.00000,-0.00093,-0.02239,-0.00694,0,8
fixture_geometry_shift,failure_stratified_engine_v5,greedy_oracle_success_upper,0.00000,0.00000,-0.00403,-0.01420,-0.00694,0,8
fixture_geometry_shift,failure_stratified_engine_v5,hybrid_diversity_risk,0.00000,0.00000,-0.00126,-0.00693,-0.00694,0,8
fixture_geometry_shift,failure_stratified_engine_v5,oracle_failure_strata,0.00000,0.00000,-0.00345,-0.00334,-0.00694,0,8
fixture_geometry_shift,failure_stratified_engine_v5,random_forest_failure_active,0.00000,0.00000,-0.00446,-0.02159,-0.00694,0,8
fixture_geometry_shift,failure_stratified_engine_v5,random_sampling,0.00000,0.00000,-0.00518,-0.00762,-0.00694,0,8
fixture_geometry_shift,failure_stratified_engine_v5,state_diversity_coreset,0.00000,0.00000,-0.00214,-0.04227,-0.01389,0,8
fixture_geometry_shift,failure_stratified_engine_v5,tail_risk_active_learning,0.00000,0.00000,0.00017,-0.00928,-0.00694,0,8
fixture_geometry_shift,failure_stratified_engine_v5,task_label_stratification,0.00694,0.01361,-0.00062,-0.00249,-0.03472,1,8
fixture_geometry_shift,failure_stratified_engine_v5,uncertainty_sampling,0.00000,0.00000,-0.00350,-0.05356,-0.00694,0,8
jammed_fixture_failures,failure_stratified_engine_v5,balanced_failure_replay,0.00000,0.00000,-0.00039,-0.01758,-0.00695,0,8
jammed_fixture_failures,failure_stratified_engine_v5,calibrated_failure_risk,0.00000,0.00000,-0.00552,-0.02897,-0.00695,0,8
jammed_fixture_failures,failure_stratified_engine_v5,failure_prediction_active_learning,0.00000,0.00000,-0.00607,-0.02972,-0.00695,0,8
jammed_fixture_failures,failure_stratified_engine_v5,failure_stratified_engine,0.00000,0.00000,-0.00406,0.00360,0.00000,0,8
jammed_fixture_failures,failure_stratified_engine_v5,gradient_boosted_failure_active,0.00000,0.00000,-0.00004,-0.01538,-0.00695,0,8
jammed_fixture_failures,failure_stratified_engine_v5,greedy_oracle_success_upper,0.00000,0.00000,-0.00275,-0.00417,-0.00695,0,8
jammed_fixture_failures,failure_stratified_engine_v5,hybrid_diversity_risk,0.00000,0.00000,-0.00183,-0.02443,-0.00695,0,8
jammed_fixture_failures,failure_stratified_engine_v5,oracle_failure_strata,0.00000,0.00000,-0.02697,-0.08846,-0.00695,0,8
