method,seed,round,split,selected_examples,failure_coverage,robust_success,failure_macro_f1,rare_failure_recall,tail_risk,calibration_error,safety_violation_rate
random_sampling,0,0,nominal_task_balance,972,0.87500,1.00000,0.00000,0.00000,0.00000,0.01828,0.00000
random_sampling,0,0,rare_slip_failures,972,0.87500,1.00000,0.17338,0.08000,0.00000,0.08917,0.00000
random_sampling,0,0,jammed_fixture_failures,972,0.87500,0.00000,0.39736,0.45359,1.00000,0.13973,0.88889
random_sampling,0,0,actuator_limit_failures,972,0.87500,1.00000,0.00000,0.00000,0.00000,0.11157,0.00000
random_sampling,0,0,combined_tail_stress,972,0.87500,0.55556,0.36933,0.62149,0.44444,0.12673,0.27778
random_sampling,0,0,compound_sensor_actuator_shift,972,0.87500,0.72222,0.28617,0.59964,0.27778,0.11728,0.16667
random_sampling,0,0,fixture_geometry_shift,972,0.87500,0.00000,0.35044,0.55410,1.00000,0.03130,0.27778
random_sampling,0,0,rare_mechanism_combo,972,0.87500,0.22222,0.35436,0.39048,0.77778,0.10968,0.00000
random_sampling,0,0,out_of_distribution_tail,972,0.87500,0.27778,0.34733,0.43636,0.72222,0.13720,0.00000
random_sampling,0,1,nominal_task_balance,1008,0.87500,1.00000,0.00000,0.00000,0.00000,0.01896,0.00000
random_sampling,0,1,rare_slip_failures,1008,0.87500,1.00000,0.17338,0.08000,0.00000,0.08106,0.00000
random_sampling,0,1,jammed_fixture_failures,1008,0.87500,0.00000,0.39143,0.43686,1.00000,0.14456,0.88889
random_sampling,0,1,actuator_limit_failures,1008,0.87500,1.00000,0.00000,0.00000,0.00000,0.11173,0.00000
random_sampling,0,1,combined_tail_stress,1008,0.87500,0.55556,0.36480,0.62149,0.44444,0.11395,0.27778
random_sampling,0,1,compound_sensor_actuator_shift,1008,0.87500,0.72222,0.28580,0.58714,0.27778,0.11887,0.16667
random_sampling,0,1,fixture_geometry_shift,1008,0.87500,0.00000,0.35163,0.55923,1.00000,0.03302,0.27778
random_sampling,0,1,rare_mechanism_combo,1008,0.87500,0.22222,0.35697,0.38095,0.77778,0.10157,0.00000
random_sampling,0,1,out_of_distribution_tail,1008,0.87500,0.27778,0.34071,0.41818,0.72222,0.15479,0.00000
random_sampling,0,2,nominal_task_balance,1044,0.87500,1.00000,0.00000,0.00000,0.00000,0.01840,0.00000
random_sampling,0,2,rare_slip_failures,1044,0.87500,1.00000,0.17976,0.08000,0.00000,0.08196,0.00000
random_sampling,0,2,jammed_fixture_failures,1044,0.87500,0.00000,0.38976,0.42501,1.00000,0.14005,0.88889
random_sampling,0,2,actuator_limit_failures,1044,0.87500,1.00000,0.00000,0.00000,0.00000,0.10997,0.00000
random_sampling,0,2,combined_tail_stress,1044,0.87500,0.55556,0.36656,0.61925,0.44444,0.11397,0.27778
random_sampling,0,2,compound_sensor_actuator_shift,1044,0.87500,0.72222,0.28987,0.61286,0.27778,0.13294,0.16667
random_sampling,0,2,fixture_geometry_shift,1044,0.87500,0.00000,0.35173,0.55410,1.00000,0.03186,0.27778
random_sampling,0,2,rare_mechanism_combo,1044,0.87500,0.22222,0.35640,0.39048,0.77778,0.10606,0.00000
random_sampling,0,2,out_of_distribution_tail,1044,0.87500,0.27778,0.34270,0.41818,0.72222,0.15237,0.00000
random_sampling,0,3,nominal_task_balance,1080,0.87500,1.00000,0.00000,0.00000,0.00000,0.01888,0.00000
random_sampling,0,3,rare_slip_failures,1080,0.87500,1.00000,0.17768,0.08000,0.00000,0.07916,0.00000
random_sampling,0,3,jammed_fixture_failures,1080,0.87500,0.00000,0.39018,0.42257,1.00000,0.14717,0.88889
random_sampling,0,3,actuator_limit_failures,1080,0.87500,1.00000,0.00000,0.00000,0.00000,0.10848,0.00000
random_sampling,0,3,combined_tail_stress,1080,0.87500,0.55556,0.36240,0.60973,0.44444,0.11449,0.27778
random_sampling,0,3,compound_sensor_actuator_shift,1080,0.87500,0.72222,0.28543,0.61286,0.27778,0.14532,0.16667
random_sampling,0,3,fixture_geometry_shift,1080,0.87500,0.00000,0.35173,0.55410,1.00000,0.03676,0.27778
random_sampling,0,3,rare_mechanism_combo,1080,0.87500,0.22222,0.35515,0.39048,0.77778,0.10135,0.00000
random_sampling,0,3,out_of_distribution_tail,1080,0.87500,0.27778,0.34443,0.41818,0.72222,0.15246,0.00000
random_sampling,0,4,nominal_task_balance,1116,0.87500,1.00000,0.00000,0.00000,0.00000,0.01935,0.00000
random_sampling,0,4,rare_slip_failures,1116,0.87500,1.00000,0.16429,0.04000,0.00000,0.08683,0.00000
random_sampling,0,4,jammed_fixture_failures,1116,0.87500,0.00000,0.39010,0.42257,1.00000,0.14749,0.88889
random_sampling,0,4,actuator_limit_failures,1116,0.87500,1.00000,0.00000,0.00000,0.00000,0.11018,0.00000
random_sampling,0,4,combined_tail_stress,1116,0.87500,0.55556,0.36627,0.63326,0.44444,0.11960,0.27778
random_sampling,0,4,compound_sensor_actuator_shift,1116,0.87500,0.72222,0.28946,0.63107,0.27778,0.14360,0.16667
random_sampling,0,4,fixture_geometry_shift,1116,0.87500,0.00000,0.35202,0.55923,1.00000,0.04413,0.27778
random_sampling,0,4,rare_mechanism_combo,1116,0.87500,0.22222,0.36969,0.45714,0.77778,0.11596,0.00000
random_sampling,0,4,out_of_distribution_tail,1116,0.87500,0.27778,0.35381,0.43636,0.72222,0.15828,0.00000
random_sampling,0,5,nominal_task_balance,1152,0.87500,1.00000,0.00000,0.00000,0.00000,0.02345,0.00000
random_sampling,0,5,rare_slip_failures,1152,0.87500,1.00000,0.16154,0.04000,0.00000,0.08750,0.00000
random_sampling,0,5,jammed_fixture_failures,1152,0.87500,0.00000,0.39547,0.43686,1.00000,0.14660,0.88889
random_sampling,0,5,actuator_limit_failures,1152,0.87500,1.00000,0.00000,0.00000,0.00000,0.10969,0.00000
random_sampling,0,5,combined_tail_stress,1152,0.87500,0.55556,0.36735,0.64502,0.44444,0.11380,0.27778
random_sampling,0,5,compound_sensor_actuator_shift,1152,0.87500,0.72222,0.28802,0.63679,0.27778,0.16530,0.16667
random_sampling,0,5,fixture_geometry_shift,1152,0.87500,0.00000,0.35314,0.56423,1.00000,0.04194,0.27778
random_sampling,0,5,rare_mechanism_combo,1152,0.87500,0.22222,0.36731,0.45714,0.77778,0.11616,0.00000
random_sampling,0,5,out_of_distribution_tail,1152,0.87500,0.27778,0.35587,0.43636,0.72222,0.16087,0.00000
task_label_stratification,0,0,nominal_task_balance,972,0.87500,1.00000,0.00000,0.00000,0.00000,0.01828,0.00000
task_label_stratification,0,0,rare_slip_failures,972,0.87500,1.00000,0.17338,0.08000,0.00000,0.08917,0.00000
task_label_stratification,0,0,jammed_fixture_failures,972,0.87500,0.00000,0.39736,0.45359,1.00000,0.13973,0.88889
task_label_stratification,0,0,actuator_limit_failures,972,0.87500,1.00000,0.00000,0.00000,0.00000,0.11157,0.00000
task_label_stratification,0,0,combined_tail_stress,972,0.87500,0.55556,0.36933,0.62149,0.44444,0.12673,0.27778
task_label_stratification,0,0,compound_sensor_actuator_shift,972,0.87500,0.72222,0.28617,0.59964,0.27778,0.11728,0.16667
task_label_stratification,0,0,fixture_geometry_shift,972,0.87500,0.00000,0.35044,0.55410,1.00000,0.03130,0.27778
task_label_stratification,0,0,rare_mechanism_combo,972,0.87500,0.22222,0.35436,0.39048,0.77778,0.10968,0.00000
task_label_stratification,0,0,out_of_distribution_tail,972,0.87500,0.27778,0.34733,0.43636,0.72222,0.13720,0.00000
task_label_stratification,0,1,nominal_task_balance,1008,0.87500,1.00000,0.00000,0.00000,0.00000,0.02305,0.00000
task_label_stratification,0,1,rare_slip_failures,1008,0.87500,1.00000,0.16958,0.08000,0.00000,0.08074,0.00000
task_label_stratification,0,1,jammed_fixture_failures,1008,0.87500,0.00000,0.39457,0.43930,1.00000,0.13806,0.88889
task_label_stratification,0,1,actuator_limit_failures,1008,0.87500,1.00000,0.00000,0.00000,0.00000,0.10427,0.00000
task_label_stratification,0,1,combined_tail_stress,1008,0.87500,0.55556,0.36598,0.59796,0.44444,0.11220,0.27778
task_label_stratification,0,1,compound_sensor_actuator_shift,1008,0.87500,0.72222,0.28977,0.59964,0.27778,0.13483,0.16667
task_label_stratification,0,1,fixture_geometry_shift,1008,0.87500,0.00000,0.35104,0.55923,1.00000,0.03281,0.27778
task_label_stratification,0,1,rare_mechanism_combo,1008,0.87500,0.22222,0.35213,0.39048,0.77778,0.11333,0.00000
task_label_stratification,0,1,out_of_distribution_tail,1008,0.87500,0.27778,0.34494,0.43636,0.72222,0.14244,0.00000
task_label_stratification,0,2,nominal_task_balance,1044,0.87500,1.00000,0.00000,0.00000,0.00000,0.01838,0.00000
task_label_stratification,0,2,rare_slip_failures,1044,0.87500,1.00000,0.17411,0.08000,0.00000,0.09690,0.00000
task_label_stratification,0,2,jammed_fixture_failures,1044,0.87500,0.00000,0.38551,0.42257,1.00000,0.13572,0.88889
