method,split,seeds,rounds,mean_robust_success,ci95_robust_success,mean_failure_macro_f1,ci95_failure_macro_f1,mean_rare_failure_recall,ci95_rare_failure_recall,mean_tail_risk,ci95_tail_risk,mean_calibration_error,ci95_calibration_error,mean_safety_violation_rate,ci95_safety_violation_rate,mean_failure_coverage,ci95_failure_coverage
balanced_failure_replay,actuator_limit_failures,8,5,1.00000,0.00000,0.05670,0.02176,0.00000,0.00000,0.00000,0.00000,0.09271,0.02888,0.00000,0.00000,0.90625,0.04010
balanced_failure_replay,combined_tail_stress,8,5,0.67361,0.04798,0.33870,0.02553,0.61411,0.03457,0.32639,0.04798,0.15641,0.04855,0.20139,0.05798,0.90625,0.04010
balanced_failure_replay,compound_sensor_actuator_shift,8,5,0.73611,0.05346,0.25940,0.02175,0.41979,0.09131,0.26389,0.05346,0.16400,0.04997,0.16667,0.04115,0.90625,0.04010
balanced_failure_replay,fixture_geometry_shift,8,5,0.02083,0.01993,0.34104,0.00788,0.39988,0.04822,0.97916,0.01993,0.04197,0.02021,0.25694,0.07110,0.90625,0.04010
balanced_failure_replay,jammed_fixture_failures,8,5,0.00000,0.00000,0.37722,0.00781,0.41431,0.02434,1.00000,0.00000,0.16900,0.02025,0.93055,0.04934,0.90625,0.04010
balanced_failure_replay,nominal_task_balance,8,5,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.03991,0.01092,0.00000,0.00000,0.90625,0.04010
balanced_failure_replay,out_of_distribution_tail,8,5,0.45833,0.13611,0.32742,0.02134,0.48928,0.04707,0.54167,0.13611,0.16832,0.06962,0.00694,0.01361,0.90625,0.04010
balanced_failure_replay,rare_mechanism_combo,8,5,0.48611,0.13766,0.35427,0.02182,0.55403,0.06240,0.51389,0.13766,0.11052,0.02132,0.00694,0.01361,0.90625,0.04010
balanced_failure_replay,rare_slip_failures,8,5,0.96528,0.02864,0.16454,0.03376,0.09333,0.08526,0.03472,0.02864,0.07409,0.01743,0.00694,0.01361,0.90625,0.04010
calibrated_failure_risk,actuator_limit_failures,8,5,1.00000,0.00000,0.00588,0.00770,0.00000,0.00000,0.00000,0.00000,0.07903,0.02410,0.00000,0.00000,0.90625,0.04010
calibrated_failure_risk,combined_tail_stress,8,5,0.67361,0.04798,0.34533,0.02525,0.59967,0.03445,0.32639,0.04798,0.12128,0.04268,0.20139,0.05798,0.90625,0.04010
calibrated_failure_risk,compound_sensor_actuator_shift,8,5,0.73611,0.05346,0.24991,0.02456,0.43329,0.07417,0.26389,0.05346,0.15674,0.04775,0.16667,0.04115,0.90625,0.04010
calibrated_failure_risk,fixture_geometry_shift,8,5,0.02083,0.01993,0.34026,0.00560,0.40262,0.04321,0.97916,0.01993,0.07378,0.02682,0.25694,0.07110,0.90625,0.04010
calibrated_failure_risk,jammed_fixture_failures,8,5,0.00000,0.00000,0.38236,0.01316,0.42569,0.01785,1.00000,0.00000,0.19288,0.02342,0.93055,0.04934,0.90625,0.04010
calibrated_failure_risk,nominal_task_balance,8,5,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.03001,0.00771,0.00000,0.00000,0.90625,0.04010
calibrated_failure_risk,out_of_distribution_tail,8,5,0.45833,0.13611,0.31588,0.01829,0.40741,0.03109,0.54167,0.13611,0.18185,0.05902,0.00694,0.01361,0.90625,0.04010
calibrated_failure_risk,rare_mechanism_combo,8,5,0.48611,0.13766,0.32767,0.01899,0.43740,0.04302,0.51389,0.13766,0.11743,0.02884,0.00694,0.01361,0.90625,0.04010
calibrated_failure_risk,rare_slip_failures,8,5,0.96528,0.02864,0.11774,0.05009,0.10083,0.07471,0.03472,0.02864,0.09047,0.01966,0.00694,0.01361,0.90625,0.04010
failure_prediction_active_learning,actuator_limit_failures,8,5,1.00000,0.00000,0.00347,0.00681,0.00000,0.00000,0.00000,0.00000,0.07522,0.02453,0.00000,0.00000,0.90625,0.04010
failure_prediction_active_learning,combined_tail_stress,8,5,0.67361,0.04798,0.34549,0.02465,0.60157,0.03664,0.32639,0.04798,0.11692,0.04192,0.20139,0.05798,0.90625,0.04010
failure_prediction_active_learning,compound_sensor_actuator_shift,8,5,0.73611,0.05346,0.24679,0.02359,0.43141,0.07136,0.26389,0.05346,0.16434,0.05003,0.16667,0.04115,0.90625,0.04010
failure_prediction_active_learning,fixture_geometry_shift,8,5,0.02083,0.01993,0.34067,0.00595,0.39899,0.04147,0.97916,0.01993,0.07493,0.02677,0.25694,0.07110,0.90625,0.04010
failure_prediction_active_learning,jammed_fixture_failures,8,5,0.00000,0.00000,0.38290,0.01551,0.42645,0.01786,1.00000,0.00000,0.19083,0.02390,0.93055,0.04934,0.90625,0.04010
