method,seed,round,split,selected_examples,failure_coverage,robust_success,failure_macro_f1,rare_failure_recall,tail_risk,calibration_error,safety_violation_rate
random_sampling,0,5,nominal_task_balance,1152,0.87500,1.00000,0.00000,0.00000,0.00000,0.02345,0.00000
random_sampling,0,5,rare_slip_failures,1152,0.87500,1.00000,0.16154,0.04000,0.00000,0.08750,0.00000
random_sampling,0,5,jammed_fixture_failures,1152,0.87500,0.00000,0.39547,0.43686,1.00000,0.14660,0.88889
random_sampling,0,5,actuator_limit_failures,1152,0.87500,1.00000,0.00000,0.00000,0.00000,0.10969,0.00000
random_sampling,0,5,combined_tail_stress,1152,0.87500,0.55556,0.36735,0.64502,0.44444,0.11380,0.27778
random_sampling,0,5,compound_sensor_actuator_shift,1152,0.87500,0.72222,0.28802,0.63679,0.27778,0.16530,0.16667
random_sampling,0,5,fixture_geometry_shift,1152,0.87500,0.00000,0.35314,0.56423,1.00000,0.04194,0.27778
random_sampling,0,5,rare_mechanism_combo,1152,0.87500,0.22222,0.36731,0.45714,0.77778,0.11616,0.00000
random_sampling,0,5,out_of_distribution_tail,1152,0.87500,0.27778,0.35587,0.43636,0.72222,0.16087,0.00000
task_label_stratification,0,5,nominal_task_balance,1152,0.87500,1.00000,0.00000,0.00000,0.00000,0.02014,0.00000
task_label_stratification,0,5,rare_slip_failures,1152,0.87500,1.00000,0.16802,0.04000,0.00000,0.10370,0.00000
task_label_stratification,0,5,jammed_fixture_failures,1152,0.87500,0.00000,0.40238,0.49888,1.00000,0.13401,0.88889
task_label_stratification,0,5,actuator_limit_failures,1152,0.87500,1.00000,0.00000,0.00000,0.00000,0.11479,0.00000
task_label_stratification,0,5,combined_tail_stress,1152,0.87500,0.55556,0.36463,0.63326,0.44444,0.11936,0.27778
task_label_stratification,0,5,compound_sensor_actuator_shift,1152,0.87500,0.72222,0.29062,0.63214,0.27778,0.12697,0.16667
task_label_stratification,0,5,fixture_geometry_shift,1152,0.87500,0.00000,0.35256,0.56923,1.00000,0.03080,0.27778
task_label_stratification,0,5,rare_mechanism_combo,1152,0.87500,0.22222,0.35557,0.39048,0.77778,0.10198,0.00000
task_label_stratification,0,5,out_of_distribution_tail,1152,0.87500,0.27778,0.35255,0.43636,0.72222,0.14567,0.00000
state_diversity_coreset,0,5,nominal_task_balance,1152,1.00000,1.00000,0.00000,0.00000,0.00000,0.02530,0.00000
state_diversity_coreset,0,5,rare_slip_failures,1152,1.00000,1.00000,0.17390,0.04000,0.00000,0.10063,0.00000
state_diversity_coreset,0,5,jammed_fixture_failures,1152,1.00000,0.00000,0.39497,0.50829,1.00000,0.15285,0.88889
state_diversity_coreset,0,5,actuator_limit_failures,1152,1.00000,1.00000,0.00000,0.00000,0.00000,0.12732,0.00000
state_diversity_coreset,0,5,combined_tail_stress,1152,1.00000,0.55556,0.35547,0.65455,0.44444,0.10510,0.27778
state_diversity_coreset,0,5,compound_sensor_actuator_shift,1152,1.00000,0.72222,0.29696,0.69500,0.27778,0.11867,0.16667
state_diversity_coreset,0,5,fixture_geometry_shift,1152,1.00000,0.00000,0.34957,0.55897,1.00000,0.05590,0.27778
state_diversity_coreset,0,5,rare_mechanism_combo,1152,1.00000,0.22222,0.35866,0.38095,0.77778,0.16421,0.00000
state_diversity_coreset,0,5,out_of_distribution_tail,1152,1.00000,0.27778,0.34206,0.43636,0.72222,0.16962,0.00000
uncertainty_sampling,0,5,nominal_task_balance,1152,0.87500,1.00000,0.00000,0.00000,0.00000,0.01673,0.00000
uncertainty_sampling,0,5,rare_slip_failures,1152,0.87500,1.00000,0.16319,0.08000,0.00000,0.09425,0.00000
uncertainty_sampling,0,5,jammed_fixture_failures,1152,0.87500,0.00000,0.40462,0.48742,1.00000,0.16133,0.88889
uncertainty_sampling,0,5,actuator_limit_failures,1152,0.87500,1.00000,0.00000,0.00000,0.00000,0.09800,0.00000
uncertainty_sampling,0,5,combined_tail_stress,1152,0.87500,0.55556,0.36472,0.64278,0.44444,0.09096,0.27778
uncertainty_sampling,0,5,compound_sensor_actuator_shift,1152,0.87500,0.72222,0.26828,0.51071,0.27778,0.13073,0.16667
uncertainty_sampling,0,5,fixture_geometry_shift,1152,0.87500,0.00000,0.35377,0.57436,1.00000,0.03348,0.27778
uncertainty_sampling,0,5,rare_mechanism_combo,1152,0.87500,0.22222,0.35175,0.39048,0.77778,0.09670,0.00000
uncertainty_sampling,0,5,out_of_distribution_tail,1152,0.87500,0.27778,0.32673,0.40000,0.72222,0.13470,0.00000
failure_prediction_active_learning,0,5,nominal_task_balance,1152,0.87500,1.00000,0.00000,0.00000,0.00000,0.00979,0.00000
failure_prediction_active_learning,0,5,rare_slip_failures,1152,0.87500,1.00000,0.11490,0.04000,0.00000,0.07120,0.00000
failure_prediction_active_learning,0,5,jammed_fixture_failures,1152,0.87500,0.00000,0.37750,0.39683,1.00000,0.17000,0.88889
failure_prediction_active_learning,0,5,actuator_limit_failures,1152,0.87500,1.00000,0.00000,0.00000,0.00000,0.08571,0.00000
failure_prediction_active_learning,0,5,combined_tail_stress,1152,0.87500,0.55556,0.35795,0.57711,0.44444,0.07908,0.27778
failure_prediction_active_learning,0,5,compound_sensor_actuator_shift,1152,0.87500,0.72222,0.27343,0.59357,0.27778,0.10635,0.16667
failure_prediction_active_learning,0,5,fixture_geometry_shift,1152,0.87500,0.00000,0.35032,0.54385,1.00000,0.05156,0.27778
failure_prediction_active_learning,0,5,rare_mechanism_combo,1152,0.87500,0.22222,0.35564,0.37143,0.77778,0.14248,0.00000
failure_prediction_active_learning,0,5,out_of_distribution_tail,1152,0.87500,0.27778,0.32908,0.40000,0.72222,0.19365,0.00000
calibrated_failure_risk,0,5,nominal_task_balance,1152,0.87500,1.00000,0.00000,0.00000,0.00000,0.00971,0.00000
calibrated_failure_risk,0,5,rare_slip_failures,1152,0.87500,1.00000,0.12059,0.04000,0.00000,0.07089,0.00000
calibrated_failure_risk,0,5,jammed_fixture_failures,1152,0.87500,0.00000,0.37718,0.39156,1.00000,0.17239,0.88889
calibrated_failure_risk,0,5,actuator_limit_failures,1152,0.87500,1.00000,0.00000,0.00000,0.00000,0.08544,0.00000
calibrated_failure_risk,0,5,combined_tail_stress,1152,0.87500,0.55556,0.36564,0.58887,0.44444,0.07858,0.27778
calibrated_failure_risk,0,5,compound_sensor_actuator_shift,1152,0.87500,0.72222,0.26778,0.58036,0.27778,0.11279,0.16667
calibrated_failure_risk,0,5,fixture_geometry_shift,1152,0.87500,0.00000,0.35243,0.55397,1.00000,0.05268,0.27778
calibrated_failure_risk,0,5,rare_mechanism_combo,1152,0.87500,0.22222,0.35839,0.37143,0.77778,0.14244,0.00000
calibrated_failure_risk,0,5,out_of_distribution_tail,1152,0.87500,0.27778,0.33026,0.40000,0.72222,0.18953,0.00000
