seed,scenario_id,chosen_policy,failure_labels,final_progress,safety_violation,lesson
0,test_combined_tail_stress_0_684,friction_probe,slip;missed_contact;sensor_dropout,1.01792,0.00000,v5 mechanism-stratified selection improved coverage pressure but the robust selector still chose a tail-risk policy
0,test_combined_tail_stress_0_686,friction_probe,jam;fixture_collision;sensor_dropout;timeout,0.28165,1.00000,v5 mechanism-stratified selection improved coverage pressure but the robust selector still chose a tail-risk policy
0,test_combined_tail_stress_0_689,friction_probe,missed_contact;timeout,0.00000,0.00000,v5 mechanism-stratified selection improved coverage pressure but the robust selector still chose a tail-risk policy
0,test_combined_tail_stress_0_690,friction_probe,jam;fixture_collision;timeout,0.31214,1.00000,v5 mechanism-stratified selection improved coverage pressure but the robust selector still chose a tail-risk policy
0,test_combined_tail_stress_0_692,friction_probe,jam;fixture_collision;timeout,0.27004,1.00000,v5 mechanism-stratified selection improved coverage pressure but the robust selector still chose a tail-risk policy
0,test_combined_tail_stress_0_694,friction_probe,jam;fixture_collision;sensor_dropout;timeout,0.29096,1.00000,v5 mechanism-stratified selection improved coverage pressure but the robust selector still chose a tail-risk policy
0,test_combined_tail_stress_0_695,friction_probe,jam;fixture_collision;sensor_dropout;timeout,0.25821,1.00000,v5 mechanism-stratified selection improved coverage pressure but the robust selector still chose a tail-risk policy
0,test_combined_tail_stress_0_698,friction_probe,slip;sensor_dropout;timeout,0.71651,0.00000,v5 mechanism-stratified selection improved coverage pressure but the robust selector still chose a tail-risk policy
1,test_combined_tail_stress_1_688,friction_probe,jam;fixture_collision;sensor_dropout;timeout,0.27752,1.00000,v5 mechanism-stratified selection improved coverage pressure but the robust selector still chose a tail-risk policy
1,test_combined_tail_stress_1_692,friction_probe,jam;sensor_dropout;timeout,0.00000,0.00000,v5 mechanism-stratified selection improved coverage pressure but the robust selector still chose a tail-risk policy
1,test_combined_tail_stress_1_696,friction_probe,jam;fixture_collision;timeout,0.12953,1.00000,v5 mechanism-stratified selection improved coverage pressure but the robust selector still chose a tail-risk policy
1,test_combined_tail_stress_1_699,friction_probe,missed_contact;sensor_dropout;timeout,0.11973,0.00000,v5 mechanism-stratified selection improved coverage pressure but the robust selector still chose a tail-risk policy
