method,seed,split,risk_budget,success_at_budget,safety_at_budget,tail_at_budget,coverage_at_budget,mean_selected_risk
balanced_failure_replay,0,actuator_limit_failures,0.05,0.61111,0.00000,0.00000,0.61111,0.04206
balanced_failure_replay,0,actuator_limit_failures,0.10,1.00000,0.00000,0.00000,1.00000,0.04206
balanced_failure_replay,0,actuator_limit_failures,0.15,1.00000,0.00000,0.00000,1.00000,0.04206
balanced_failure_replay,0,actuator_limit_failures,0.20,1.00000,0.00000,0.00000,1.00000,0.04206
balanced_failure_replay,0,actuator_limit_failures,0.30,1.00000,0.00000,0.00000,1.00000,0.04206
balanced_failure_replay,0,combined_tail_stress,0.05,0.00000,0.00000,0.00000,0.00000,0.51818
balanced_failure_replay,0,combined_tail_stress,0.10,0.00000,0.00000,0.00000,0.00000,0.51818
balanced_failure_replay,0,combined_tail_stress,0.15,0.00000,0.00000,0.00000,0.00000,0.51818
balanced_failure_replay,0,combined_tail_stress,0.20,0.00000,0.00000,0.00000,0.00000,0.51818
balanced_failure_replay,0,combined_tail_stress,0.30,0.05556,0.00000,0.00000,0.05556,0.51818
balanced_failure_replay,0,compound_sensor_actuator_shift,0.05,0.00000,0.00000,0.00000,0.00000,0.15662
balanced_failure_replay,0,compound_sensor_actuator_shift,0.10,0.05556,0.05556,0.05556,0.11111,0.15662
balanced_failure_replay,0,compound_sensor_actuator_shift,0.15,0.38889,0.11111,0.16667,0.55556,0.15662
balanced_failure_replay,0,compound_sensor_actuator_shift,0.20,0.61111,0.16667,0.22222,0.83333,0.15662
balanced_failure_replay,0,compound_sensor_actuator_shift,0.30,0.72222,0.16667,0.27778,1.00000,0.15662
balanced_failure_replay,0,fixture_geometry_shift,0.05,0.00000,0.00000,0.00000,0.00000,0.94145
balanced_failure_replay,0,fixture_geometry_shift,0.10,0.00000,0.00000,0.00000,0.00000,0.94145
balanced_failure_replay,0,fixture_geometry_shift,0.15,0.00000,0.00000,0.00000,0.00000,0.94145
balanced_failure_replay,0,fixture_geometry_shift,0.20,0.00000,0.00000,0.00000,0.00000,0.94145
balanced_failure_replay,0,fixture_geometry_shift,0.30,0.00000,0.00000,0.00000,0.00000,0.94145
balanced_failure_replay,0,jammed_fixture_failures,0.05,0.00000,0.00000,0.00000,0.00000,0.71538
balanced_failure_replay,0,jammed_fixture_failures,0.10,0.00000,0.00000,0.00000,0.00000,0.71538
balanced_failure_replay,0,jammed_fixture_failures,0.15,0.00000,0.00000,0.00000,0.00000,0.71538
balanced_failure_replay,0,jammed_fixture_failures,0.20,0.00000,0.00000,0.00000,0.00000,0.71538
balanced_failure_replay,0,jammed_fixture_failures,0.30,0.00000,0.00000,0.00000,0.00000,0.71538
balanced_failure_replay,0,nominal_task_balance,0.05,1.00000,0.00000,0.00000,1.00000,0.00829
balanced_failure_replay,0,nominal_task_balance,0.10,1.00000,0.00000,0.00000,1.00000,0.00829
balanced_failure_replay,0,nominal_task_balance,0.15,1.00000,0.00000,0.00000,1.00000,0.00829
balanced_failure_replay,0,nominal_task_balance,0.20,1.00000,0.00000,0.00000,1.00000,0.00829
balanced_failure_replay,0,nominal_task_balance,0.30,1.00000,0.00000,0.00000,1.00000,0.00829
balanced_failure_replay,0,out_of_distribution_tail,0.05,0.00000,0.00000,0.00000,0.00000,0.69329
balanced_failure_replay,0,out_of_distribution_tail,0.10,0.00000,0.00000,0.00000,0.00000,0.69329
balanced_failure_replay,0,out_of_distribution_tail,0.15,0.00000,0.00000,0.00000,0.00000,0.69329
balanced_failure_replay,0,out_of_distribution_tail,0.20,0.00000,0.00000,0.00000,0.00000,0.69329
balanced_failure_replay,0,out_of_distribution_tail,0.30,0.00000,0.00000,0.00000,0.00000,0.69329
balanced_failure_replay,0,rare_mechanism_combo,0.05,0.00000,0.00000,0.00000,0.00000,0.55404
balanced_failure_replay,0,rare_mechanism_combo,0.10,0.00000,0.00000,0.00000,0.00000,0.55404
balanced_failure_replay,0,rare_mechanism_combo,0.15,0.00000,0.00000,0.00000,0.00000,0.55404
balanced_failure_replay,0,rare_mechanism_combo,0.20,0.00000,0.00000,0.00000,0.00000,0.55404
balanced_failure_replay,0,rare_mechanism_combo,0.30,0.00000,0.00000,0.05556,0.05556,0.55404
balanced_failure_replay,0,rare_slip_failures,0.05,0.61111,0.00000,0.00000,0.61111,0.07092
balanced_failure_replay,0,rare_slip_failures,0.10,0.83333,0.00000,0.00000,0.83333,0.07092
balanced_failure_replay,0,rare_slip_failures,0.15,0.83333,0.00000,0.00000,0.83333,0.07092
balanced_failure_replay,0,rare_slip_failures,0.20,0.94444,0.00000,0.00000,0.94444,0.07092
balanced_failure_replay,0,rare_slip_failures,0.30,0.94444,0.00000,0.00000,0.94444,0.07092
calibrated_failure_risk,0,actuator_limit_failures,0.05,0.61111,0.00000,0.00000,0.61111,0.04482
calibrated_failure_risk,0,actuator_limit_failures,0.10,1.00000,0.00000,0.00000,1.00000,0.04482
calibrated_failure_risk,0,actuator_limit_failures,0.15,1.00000,0.00000,0.00000,1.00000,0.04482
calibrated_failure_risk,0,actuator_limit_failures,0.20,1.00000,0.00000,0.00000,1.00000,0.04482
calibrated_failure_risk,0,actuator_limit_failures,0.30,1.00000,0.00000,0.00000,1.00000,0.04482
calibrated_failure_risk,0,combined_tail_stress,0.05,0.00000,0.00000,0.00000,0.00000,0.53766
calibrated_failure_risk,0,combined_tail_stress,0.10,0.00000,0.00000,0.00000,0.00000,0.53766
calibrated_failure_risk,0,combined_tail_stress,0.15,0.05556,0.00000,0.00000,0.05556,0.53766
calibrated_failure_risk,0,combined_tail_stress,0.20,0.05556,0.00000,0.00000,0.05556,0.53766
calibrated_failure_risk,0,combined_tail_stress,0.30,0.05556,0.00000,0.00000,0.05556,0.53766
calibrated_failure_risk,0,compound_sensor_actuator_shift,0.05,0.00000,0.00000,0.00000,0.00000,0.22133
calibrated_failure_risk,0,compound_sensor_actuator_shift,0.10,0.05556,0.05556,0.05556,0.11111,0.22133
calibrated_failure_risk,0,compound_sensor_actuator_shift,0.15,0.11111,0.05556,0.05556,0.16667,0.22133
calibrated_failure_risk,0,compound_sensor_actuator_shift,0.20,0.33333,0.16667,0.22222,0.55556,0.22133
calibrated_failure_risk,0,compound_sensor_actuator_shift,0.30,0.55556,0.16667,0.22222,0.77778,0.22133
calibrated_failure_risk,0,fixture_geometry_shift,0.05,0.00000,0.00000,0.00000,0.00000,0.92220
calibrated_failure_risk,0,fixture_geometry_shift,0.10,0.00000,0.00000,0.00000,0.00000,0.92220
calibrated_failure_risk,0,fixture_geometry_shift,0.15,0.00000,0.00000,0.00000,0.00000,0.92220
calibrated_failure_risk,0,fixture_geometry_shift,0.20,0.00000,0.00000,0.00000,0.00000,0.92220
calibrated_failure_risk,0,fixture_geometry_shift,0.30,0.00000,0.00000,0.00000,0.00000,0.92220
calibrated_failure_risk,0,jammed_fixture_failures,0.05,0.00000,0.00000,0.00000,0.00000,0.74477
calibrated_failure_risk,0,jammed_fixture_failures,0.10,0.00000,0.00000,0.00000,0.00000,0.74477
calibrated_failure_risk,0,jammed_fixture_failures,0.15,0.00000,0.00000,0.00000,0.00000,0.74477
calibrated_failure_risk,0,jammed_fixture_failures,0.20,0.00000,0.00000,0.00000,0.00000,0.74477
calibrated_failure_risk,0,jammed_fixture_failures,0.30,0.00000,0.00000,0.00000,0.00000,0.74477
calibrated_failure_risk,0,nominal_task_balance,0.05,1.00000,0.00000,0.00000,1.00000,0.00981
calibrated_failure_risk,0,nominal_task_balance,0.10,1.00000,0.00000,0.00000,1.00000,0.00981
calibrated_failure_risk,0,nominal_task_balance,0.15,1.00000,0.00000,0.00000,1.00000,0.00981
calibrated_failure_risk,0,nominal_task_balance,0.20,1.00000,0.00000,0.00000,1.00000,0.00981
calibrated_failure_risk,0,nominal_task_balance,0.30,1.00000,0.00000,0.00000,1.00000,0.00981
calibrated_failure_risk,0,out_of_distribution_tail,0.05,0.00000,0.00000,0.00000,0.00000,0.61566
calibrated_failure_risk,0,out_of_distribution_tail,0.10,0.00000,0.00000,0.00000,0.00000,0.61566
calibrated_failure_risk,0,out_of_distribution_tail,0.15,0.00000,0.00000,0.00000,0.00000,0.61566
calibrated_failure_risk,0,out_of_distribution_tail,0.20,0.00000,0.00000,0.00000,0.00000,0.61566
calibrated_failure_risk,0,out_of_distribution_tail,0.30,0.00000,0.00000,0.00000,0.00000,0.61566
calibrated_failure_risk,0,rare_mechanism_combo,0.05,0.00000,0.00000,0.00000,0.00000,0.59308
calibrated_failure_risk,0,rare_mechanism_combo,0.10,0.00000,0.00000,0.00000,0.00000,0.59308
calibrated_failure_risk,0,rare_mechanism_combo,0.15,0.00000,0.00000,0.00000,0.00000,0.59308
calibrated_failure_risk,0,rare_mechanism_combo,0.20,0.00000,0.00000,0.00000,0.00000,0.59308
calibrated_failure_risk,0,rare_mechanism_combo,0.30,0.05556,0.00000,0.05556,0.11111,0.59308
calibrated_failure_risk,0,rare_slip_failures,0.05,0.44444,0.00000,0.00000,0.44444,0.09469
calibrated_failure_risk,0,rare_slip_failures,0.10,0.83333,0.00000,0.00000,0.83333,0.09469
calibrated_failure_risk,0,rare_slip_failures,0.15,0.83333,0.00000,0.00000,0.83333,0.09469
calibrated_failure_risk,0,rare_slip_failures,0.20,0.88889,0.00000,0.00000,0.88889,0.09469
calibrated_failure_risk,0,rare_slip_failures,0.30,0.88889,0.00000,0.00000,0.88889,0.09469
failure_prediction_active_learning,0,actuator_limit_failures,0.05,0.61111,0.00000,0.00000,0.61111,0.04533
failure_prediction_active_learning,0,actuator_limit_failures,0.10,1.00000,0.00000,0.00000,1.00000,0.04533
failure_prediction_active_learning,0,actuator_limit_failures,0.15,1.00000,0.00000,0.00000,1.00000,0.04533
failure_prediction_active_learning,0,actuator_limit_failures,0.20,1.00000,0.00000,0.00000,1.00000,0.04533
failure_prediction_active_learning,0,actuator_limit_failures,0.30,1.00000,0.00000,0.00000,1.00000,0.04533
failure_prediction_active_learning,0,combined_tail_stress,0.05,0.00000,0.00000,0.00000,0.00000,0.53784
failure_prediction_active_learning,0,combined_tail_stress,0.10,0.00000,0.00000,0.00000,0.00000,0.53784
failure_prediction_active_learning,0,combined_tail_stress,0.15,0.05556,0.00000,0.00000,0.05556,0.53784
failure_prediction_active_learning,0,combined_tail_stress,0.20,0.05556,0.00000,0.00000,0.05556,0.53784
failure_prediction_active_learning,0,combined_tail_stress,0.30,0.05556,0.00000,0.00000,0.05556,0.53784
failure_prediction_active_learning,0,compound_sensor_actuator_shift,0.05,0.00000,0.00000,0.00000,0.00000,0.22062
failure_prediction_active_learning,0,compound_sensor_actuator_shift,0.10,0.05556,0.05556,0.05556,0.11111,0.22062
failure_prediction_active_learning,0,compound_sensor_actuator_shift,0.15,0.11111,0.05556,0.05556,0.16667,0.22062
failure_prediction_active_learning,0,compound_sensor_actuator_shift,0.20,0.33333,0.16667,0.22222,0.55556,0.22062
failure_prediction_active_learning,0,compound_sensor_actuator_shift,0.30,0.55556,0.16667,0.22222,0.77778,0.22062
failure_prediction_active_learning,0,fixture_geometry_shift,0.05,0.00000,0.00000,0.00000,0.00000,0.92374
failure_prediction_active_learning,0,fixture_geometry_shift,0.10,0.00000,0.00000,0.00000,0.00000,0.92374
failure_prediction_active_learning,0,fixture_geometry_shift,0.15,0.00000,0.00000,0.00000,0.00000,0.92374
failure_prediction_active_learning,0,fixture_geometry_shift,0.20,0.00000,0.00000,0.00000,0.00000,0.92374
failure_prediction_active_learning,0,fixture_geometry_shift,0.30,0.00000,0.00000,0.00000,0.00000,0.92374
failure_prediction_active_learning,0,jammed_fixture_failures,0.05,0.00000,0.00000,0.00000,0.00000,0.74780
failure_prediction_active_learning,0,jammed_fixture_failures,0.10,0.00000,0.00000,0.00000,0.00000,0.74780
failure_prediction_active_learning,0,jammed_fixture_failures,0.15,0.00000,0.00000,0.00000,0.00000,0.74780
failure_prediction_active_learning,0,jammed_fixture_failures,0.20,0.00000,0.00000,0.00000,0.00000,0.74780
failure_prediction_active_learning,0,jammed_fixture_failures,0.30,0.00000,0.00000,0.00000,0.00000,0.74780
failure_prediction_active_learning,0,nominal_task_balance,0.05,1.00000,0.00000,0.00000,1.00000,0.00989
failure_prediction_active_learning,0,nominal_task_balance,0.10,1.00000,0.00000,0.00000,1.00000,0.00989
failure_prediction_active_learning,0,nominal_task_balance,0.15,1.00000,0.00000,0.00000,1.00000,0.00989
failure_prediction_active_learning,0,nominal_task_balance,0.20,1.00000,0.00000,0.00000,1.00000,0.00989
failure_prediction_active_learning,0,nominal_task_balance,0.30,1.00000,0.00000,0.00000,1.00000,0.00989
failure_prediction_active_learning,0,out_of_distribution_tail,0.05,0.00000,0.00000,0.00000,0.00000,0.61052
failure_prediction_active_learning,0,out_of_distribution_tail,0.10,0.00000,0.00000,0.00000,0.00000,0.61052
failure_prediction_active_learning,0,out_of_distribution_tail,0.15,0.00000,0.00000,0.00000,0.00000,0.61052
failure_prediction_active_learning,0,out_of_distribution_tail,0.20,0.00000,0.00000,0.00000,0.00000,0.61052
failure_prediction_active_learning,0,out_of_distribution_tail,0.30,0.00000,0.00000,0.00000,0.00000,0.61052
failure_prediction_active_learning,0,rare_mechanism_combo,0.05,0.00000,0.00000,0.00000,0.00000,0.59287
failure_prediction_active_learning,0,rare_mechanism_combo,0.10,0.00000,0.00000,0.00000,0.00000,0.59287
failure_prediction_active_learning,0,rare_mechanism_combo,0.15,0.00000,0.00000,0.00000,0.00000,0.59287
failure_prediction_active_learning,0,rare_mechanism_combo,0.20,0.00000,0.00000,0.00000,0.00000,0.59287
failure_prediction_active_learning,0,rare_mechanism_combo,0.30,0.05556,0.00000,0.05556,0.11111,0.59287
