split,reference,comparison,paired_success_diff,ci95_success_diff,paired_macro_f1_diff,paired_rare_recall_diff,paired_safety_reduction,reference_better_seeds,seeds
combined_extreme,failure_stratified_engine_v5,balanced_failure_replay,-0.01157,0.02268,-0.00760,-0.00034,-0.00231,0,8
combined_extreme,failure_stratified_engine_v5,calibrated_failure_risk,-0.01157,0.02268,0.00290,0.07064,-0.00231,0,8
combined_extreme,failure_stratified_engine_v5,failure_prediction_active_learning,-0.01157,0.02268,0.00351,0.06822,-0.00231,0,8
combined_extreme,failure_stratified_engine_v5,failure_stratified_engine,0.00000,0.00000,0.00322,0.00827,0.00000,0,8
combined_extreme,failure_stratified_engine_v5,gradient_boosted_failure_active,-0.01157,0.02268,-0.00839,-0.00553,-0.00231,0,8
combined_extreme,failure_stratified_engine_v5,greedy_oracle_success_upper,-0.01157,0.02268,0.01101,0.01280,-0.00231,0,8
combined_extreme,failure_stratified_engine_v5,hybrid_diversity_risk,-0.01157,0.02268,-0.00181,0.01310,-0.00231,0,8
combined_extreme,failure_stratified_engine_v5,oracle_failure_strata,-0.01157,0.02268,0.01290,0.01837,-0.00231,0,8
combined_extreme,failure_stratified_engine_v5,random_forest_failure_active,-0.01157,0.02268,0.00168,0.00486,-0.00231,0,8
combined_extreme,failure_stratified_engine_v5,random_sampling,-0.01157,0.02268,-0.00342,0.00898,-0.00231,0,8
combined_extreme,failure_stratified_engine_v5,state_diversity_coreset,0.00694,0.04547,0.00771,0.01467,-0.00694,1,8
combined_extreme,failure_stratified_engine_v5,tail_risk_active_learning,-0.01157,0.02268,-0.00610,0.04100,-0.00231,0,8
combined_extreme,failure_stratified_engine_v5,task_label_stratification,0.00463,0.00907,0.00297,0.02062,-0.00694,1,8
combined_extreme,failure_stratified_engine_v5,uncertainty_sampling,-0.01157,0.02268,-0.00063,0.01967,-0.00231,0,8
hard_regime,failure_stratified_engine_v5,balanced_failure_replay,-0.00833,0.01633,-0.00585,-0.00754,-0.00556,0,8
hard_regime,failure_stratified_engine_v5,calibrated_failure_risk,-0.00833,0.01633,0.00250,0.03180,-0.00556,0,8
hard_regime,failure_stratified_engine_v5,failure_prediction_active_learning,-0.00833,0.01633,0.00341,0.03145,-0.00556,0,8
hard_regime,failure_stratified_engine_v5,failure_stratified_engine,0.00000,0.00000,-0.00043,-0.01834,0.00000,0,8
hard_regime,failure_stratified_engine_v5,gradient_boosted_failure_active,-0.00833,0.01633,-0.00730,-0.02038,-0.00556,0,8
hard_regime,failure_stratified_engine_v5,greedy_oracle_success_upper,-0.00833,0.01633,-0.00104,-0.04833,-0.00556,0,8
hard_regime,failure_stratified_engine_v5,hybrid_diversity_risk,-0.00833,0.01633,-0.00524,-0.00515,-0.00556,0,8
hard_regime,failure_stratified_engine_v5,oracle_failure_strata,-0.00833,0.01633,0.00166,-0.03854,-0.00556,0,8
hard_regime,failure_stratified_engine_v5,random_forest_failure_active,-0.00833,0.01633,0.00281,-0.00349,-0.00556,0,8
hard_regime,failure_stratified_engine_v5,random_sampling,-0.00833,0.01633,-0.00453,-0.01171,-0.00556,0,8
hard_regime,failure_stratified_engine_v5,state_diversity_coreset,0.00417,0.03133,0.00150,-0.02876,-0.00972,1,8
hard_regime,failure_stratified_engine_v5,tail_risk_active_learning,-0.00833,0.01633,-0.00910,0.00890,-0.00556,0,8
hard_regime,failure_stratified_engine_v5,task_label_stratification,0.00139,0.00272,-0.00053,-0.00482,-0.01945,1,8
hard_regime,failure_stratified_engine_v5,uncertainty_sampling,-0.00833,0.01633,-0.00106,-0.00238,-0.00556,0,8
