method,seed,round,split,selected_examples,failure_coverage,robust_success,failure_macro_f1,rare_failure_recall,tail_risk,calibration_error,safety_violation_rate
failure_stratified_v5_full,0,0,combined_tail_stress,972,0.87500,0.55556,0.39607,0.56518,0.50000,0.12108,0.33333
failure_stratified_v5_full,0,1,combined_tail_stress,1008,0.87500,0.55556,0.40437,0.58196,0.50000,0.09013,0.33333
failure_stratified_v5_full,0,2,combined_tail_stress,1044,0.87500,0.55556,0.39907,0.58196,0.50000,0.09975,0.33333
failure_stratified_v5_full,0,3,combined_tail_stress,1080,0.87500,0.55556,0.39237,0.56378,0.50000,0.09053,0.33333
failure_stratified_v5_full,0,4,combined_tail_stress,1116,0.87500,0.55556,0.39404,0.56378,0.50000,0.09259,0.33333
failure_stratified_v5_full,0,5,combined_tail_stress,1152,0.87500,0.33333,0.39676,0.56378,0.66667,0.09011,0.44444
failure_stratified_v5_no_mechanism_deficit,0,0,combined_tail_stress,972,0.87500,0.55556,0.39607,0.56518,0.50000,0.12108,0.33333
failure_stratified_v5_no_mechanism_deficit,0,1,combined_tail_stress,1008,0.87500,0.55556,0.39797,0.57287,0.50000,0.11198,0.33333
failure_stratified_v5_no_mechanism_deficit,0,2,combined_tail_stress,1044,0.87500,0.55556,0.40844,0.59105,0.50000,0.11392,0.33333
failure_stratified_v5_no_mechanism_deficit,0,3,combined_tail_stress,1080,0.87500,0.55556,0.39821,0.58196,0.50000,0.12342,0.33333
failure_stratified_v5_no_mechanism_deficit,0,4,combined_tail_stress,1116,0.87500,0.55556,0.39787,0.57287,0.50000,0.08715,0.33333
failure_stratified_v5_no_mechanism_deficit,0,5,combined_tail_stress,1152,0.87500,0.55556,0.39101,0.57287,0.50000,0.06555,0.33333
failure_stratified_v5_no_rare_reweighting,0,0,combined_tail_stress,972,0.87500,0.55556,0.39607,0.56518,0.50000,0.12108,0.33333
failure_stratified_v5_no_rare_reweighting,0,1,combined_tail_stress,1008,0.87500,0.55556,0.40455,0.58196,0.50000,0.11526,0.33333
failure_stratified_v5_no_rare_reweighting,0,2,combined_tail_stress,1044,0.87500,0.55556,0.39538,0.56378,0.50000,0.10861,0.33333
failure_stratified_v5_no_rare_reweighting,0,3,combined_tail_stress,1080,0.87500,0.55556,0.39441,0.56378,0.50000,0.11500,0.33333
failure_stratified_v5_no_rare_reweighting,0,4,combined_tail_stress,1116,0.87500,0.55556,0.39393,0.56378,0.50000,0.09074,0.33333
failure_stratified_v5_no_rare_reweighting,0,5,combined_tail_stress,1152,0.87500,0.55556,0.38703,0.56210,0.50000,0.07425,0.33333
failure_stratified_v5_no_tail_risk,0,0,combined_tail_stress,972,0.87500,0.55556,0.39607,0.56518,0.50000,0.12108,0.33333
failure_stratified_v5_no_tail_risk,0,1,combined_tail_stress,1008,0.87500,0.55556,0.40904,0.59105,0.50000,0.14454,0.33333
failure_stratified_v5_no_tail_risk,0,2,combined_tail_stress,1044,0.87500,0.55556,0.40768,0.58364,0.50000,0.08310,0.33333
failure_stratified_v5_no_tail_risk,0,3,combined_tail_stress,1080,0.87500,0.55556,0.40684,0.57287,0.50000,0.11790,0.33333
failure_stratified_v5_no_tail_risk,0,4,combined_tail_stress,1116,0.87500,0.55556,0.40391,0.56378,0.50000,0.12628,0.33333
failure_stratified_v5_no_tail_risk,0,5,combined_tail_stress,1152,0.87500,0.55556,0.40765,0.56378,0.50000,0.13505,0.33333
failure_stratified_v5_no_calibration_term,0,0,combined_tail_stress,972,0.87500,0.55556,0.39607,0.56518,0.50000,0.12108,0.33333
failure_stratified_v5_no_calibration_term,0,1,combined_tail_stress,1008,0.87500,0.55556,0.40437,0.58196,0.50000,0.09013,0.33333
failure_stratified_v5_no_calibration_term,0,2,combined_tail_stress,1044,0.87500,0.55556,0.39855,0.58196,0.50000,0.10002,0.33333
failure_stratified_v5_no_calibration_term,0,3,combined_tail_stress,1080,0.87500,0.55556,0.39207,0.56378,0.50000,0.10856,0.33333
failure_stratified_v5_no_calibration_term,0,4,combined_tail_stress,1116,0.87500,0.55556,0.39283,0.56378,0.50000,0.09301,0.33333
failure_stratified_v5_no_calibration_term,0,5,combined_tail_stress,1152,0.87500,0.33333,0.39572,0.56378,0.66667,0.07982,0.44444
failure_stratified_v5_no_diversity_penalty,0,0,combined_tail_stress,972,0.87500,0.55556,0.39607,0.56518,0.50000,0.12108,0.33333
failure_stratified_v5_no_diversity_penalty,0,1,combined_tail_stress,1008,0.87500,0.55556,0.39509,0.57287,0.50000,0.10064,0.33333
failure_stratified_v5_no_diversity_penalty,0,2,combined_tail_stress,1044,0.87500,0.55556,0.39641,0.57287,0.50000,0.10667,0.33333
failure_stratified_v5_no_diversity_penalty,0,3,combined_tail_stress,1080,0.87500,0.55556,0.39473,0.56378,0.50000,0.11027,0.33333
failure_stratified_v5_no_diversity_penalty,0,4,combined_tail_stress,1116,0.87500,0.55556,0.39429,0.56378,0.50000,0.08688,0.33333
failure_stratified_v5_no_diversity_penalty,0,5,combined_tail_stress,1152,0.87500,0.33333,0.39589,0.56378,0.66667,0.11141,0.44444
failure_stratified_v5_no_trace_features,0,0,combined_tail_stress,972,0.87500,0.55556,0.39607,0.56518,0.50000,0.12108,0.33333
failure_stratified_v5_no_trace_features,0,1,combined_tail_stress,1008,0.87500,0.55556,0.39581,0.57287,0.50000,0.10184,0.33333
failure_stratified_v5_no_trace_features,0,2,combined_tail_stress,1044,0.87500,0.55556,0.39421,0.56378,0.50000,0.14055,0.33333
