method,seed,stress_level,robust_success,failure_macro_f1,rare_failure_recall,tail_risk,calibration_error,safety_violation_rate
calibrated_failure_risk,0,0.20,0.90000,0.01471,0.06667,0.10000,0.16384,0.10000
hybrid_diversity_risk,0,0.20,0.90000,0.06250,0.00000,0.10000,0.14369,0.10000
failure_stratified_engine,0,0.20,0.90000,0.00000,0.00000,0.10000,0.15526,0.10000
failure_stratified_engine_v5,0,0.20,0.90000,0.06250,0.00000,0.10000,0.13117,0.10000
oracle_failure_strata,0,0.20,0.90000,0.07692,0.13333,0.10000,0.15890,0.10000
uncertainty_sampling,1,0.20,0.90000,0.05357,0.00000,0.10000,0.04643,0.00000
failure_prediction_active_learning,1,0.20,0.90000,0.04167,0.00000,0.10000,0.01850,0.00000
calibrated_failure_risk,1,0.20,0.90000,0.00000,0.00000,0.10000,0.01829,0.00000
hybrid_diversity_risk,1,0.20,0.90000,0.05000,0.00000,0.10000,0.03631,0.00000
failure_stratified_engine,1,0.20,0.90000,0.05357,0.00000,0.10000,0.02914,0.00000
failure_stratified_engine_v5,1,0.20,0.90000,0.05357,0.00000,0.10000,0.03281,0.00000
oracle_failure_strata,1,0.20,0.90000,0.07465,0.05000,0.10000,0.03839,0.00000
uncertainty_sampling,2,0.20,0.80000,0.01786,0.00000,0.20000,0.14051,0.10000
failure_prediction_active_learning,2,0.20,0.80000,0.00000,0.00000,0.20000,0.15550,0.10000
calibrated_failure_risk,2,0.20,0.80000,0.00000,0.00000,0.20000,0.15390,0.10000
hybrid_diversity_risk,2,0.20,0.80000,0.01786,0.00000,0.20000,0.13394,0.10000
failure_stratified_engine,2,0.20,0.80000,0.01786,0.00000,0.20000,0.14983,0.10000
failure_stratified_engine_v5,2,0.20,0.80000,0.01786,0.00000,0.20000,0.15660,0.10000
oracle_failure_strata,2,0.20,0.80000,0.05882,0.06667,0.20000,0.17301,0.10000
uncertainty_sampling,3,0.20,1.00000,0.09167,0.00000,0.00000,0.10869,0.00000
failure_prediction_active_learning,3,0.20,1.00000,0.00000,0.00000,0.00000,0.08544,0.00000
calibrated_failure_risk,3,0.20,1.00000,0.00000,0.00000,0.00000,0.08524,0.00000
hybrid_diversity_risk,3,0.20,1.00000,0.03571,0.00000,0.00000,0.05933,0.00000
failure_stratified_engine,3,0.20,1.00000,0.04167,0.00000,0.00000,0.09131,0.00000
failure_stratified_engine_v5,3,0.20,1.00000,0.04167,0.00000,0.00000,0.07102,0.00000
oracle_failure_strata,3,0.20,1.00000,0.05769,0.06667,0.00000,0.07088,0.00000
uncertainty_sampling,4,0.20,1.00000,0.01471,0.00000,0.00000,0.08744,0.00000
failure_prediction_active_learning,4,0.20,1.00000,0.00000,0.00000,0.00000,0.08351,0.00000
calibrated_failure_risk,4,0.20,1.00000,0.00000,0.00000,0.00000,0.08537,0.00000
hybrid_diversity_risk,4,0.20,1.00000,0.01250,0.00000,0.00000,0.12026,0.00000
failure_stratified_engine,4,0.20,1.00000,0.01389,0.00000,0.00000,0.07107,0.00000
failure_stratified_engine_v5,4,0.20,1.00000,0.01190,0.00000,0.00000,0.08912,0.00000
oracle_failure_strata,4,0.20,1.00000,0.03009,0.20000,0.00000,0.07960,0.00000
uncertainty_sampling,5,0.20,1.00000,0.06250,0.00000,0.00000,0.08589,0.00000
failure_prediction_active_learning,5,0.20,1.00000,0.00000,0.00000,0.00000,0.02526,0.00000
calibrated_failure_risk,5,0.20,1.00000,0.00000,0.00000,0.00000,0.02489,0.00000
hybrid_diversity_risk,5,0.20,1.00000,0.00000,0.00000,0.00000,0.07107,0.00000
failure_stratified_engine,5,0.20,1.00000,0.00000,0.00000,0.00000,0.03667,0.00000
failure_stratified_engine_v5,5,0.20,1.00000,0.00000,0.00000,0.00000,0.08072,0.00000
oracle_failure_strata,5,0.20,1.00000,0.02500,0.00000,0.00000,0.04039,0.00000
uncertainty_sampling,6,0.20,1.00000,0.08333,0.00000,0.00000,0.04458,0.00000
failure_prediction_active_learning,6,0.20,1.00000,0.00000,0.00000,0.00000,0.04885,0.00000
calibrated_failure_risk,6,0.20,1.00000,0.00000,0.00000,0.00000,0.04618,0.00000
hybrid_diversity_risk,6,0.20,1.00000,0.00000,0.00000,0.00000,0.08361,0.00000
failure_stratified_engine,6,0.20,1.00000,0.00000,0.00000,0.00000,0.03401,0.00000
failure_stratified_engine_v5,6,0.20,1.00000,0.00000,0.00000,0.00000,0.04483,0.00000
oracle_failure_strata,6,0.20,1.00000,0.13269,0.15000,0.00000,0.05608,0.00000
uncertainty_sampling,7,0.20,1.00000,0.03125,0.00000,0.00000,0.06323,0.00000
failure_prediction_active_learning,7,0.20,1.00000,0.00000,0.00000,0.00000,0.04075,0.00000
calibrated_failure_risk,7,0.20,1.00000,0.00000,0.00000,0.00000,0.03739,0.00000
hybrid_diversity_risk,7,0.20,1.00000,0.02273,0.00000,0.00000,0.04968,0.00000
failure_stratified_engine,7,0.20,1.00000,0.02273,0.00000,0.00000,0.03740,0.00000
failure_stratified_engine_v5,7,0.20,1.00000,0.02273,0.00000,0.00000,0.07688,0.00000
oracle_failure_strata,7,0.20,1.00000,0.01316,0.00000,0.00000,0.05786,0.00000
uncertainty_sampling,0,0.40,0.70000,0.08614,0.06000,0.30000,0.17151,0.20000
failure_prediction_active_learning,0,0.40,0.70000,0.07882,0.10000,0.30000,0.21115,0.20000
calibrated_failure_risk,0,0.40,0.70000,0.08333,0.10000,0.30000,0.21159,0.20000
hybrid_diversity_risk,0,0.40,0.70000,0.07473,0.06000,0.30000,0.20017,0.20000
failure_stratified_engine,0,0.40,0.70000,0.03571,0.00000,0.30000,0.20534,0.20000
failure_stratified_engine_v5,0,0.40,0.70000,0.06325,0.02000,0.30000,0.19390,0.20000
oracle_failure_strata,0,0.40,0.70000,0.08194,0.12000,0.30000,0.20535,0.20000
uncertainty_sampling,1,0.40,0.40000,0.11508,0.01538,0.60000,0.36014,0.30000
failure_prediction_active_learning,1,0.40,0.40000,0.07083,0.00000,0.60000,0.36593,0.30000
calibrated_failure_risk,1,0.40,0.40000,0.07083,0.00000,0.60000,0.36613,0.30000
