method,seed,stress_level,robust_success,failure_macro_f1,rare_failure_recall,tail_risk,calibration_error,safety_violation_rate
calibrated_failure_risk,1,1.00,0.00000,0.51085,0.96000,1.00000,0.00415,0.60000
hybrid_diversity_risk,1,1.00,0.00000,0.50336,0.83333,1.00000,0.00876,0.60000
failure_stratified_engine,1,1.00,0.00000,0.51858,0.87333,1.00000,0.01091,0.60000
failure_stratified_engine_v5,1,1.00,0.00000,0.52098,0.89333,1.00000,0.00210,0.60000
oracle_failure_strata,1,1.00,0.00000,0.52040,1.00000,1.00000,0.01194,0.60000
uncertainty_sampling,2,1.00,0.00000,0.50987,0.86439,1.00000,0.01865,0.60000
failure_prediction_active_learning,2,1.00,0.00000,0.50756,0.72518,1.00000,0.01178,0.60000
calibrated_failure_risk,2,1.00,0.00000,0.50756,0.72518,1.00000,0.01336,0.60000
hybrid_diversity_risk,2,1.00,0.00000,0.51172,0.85283,1.00000,0.02233,0.60000
failure_stratified_engine,2,1.00,0.00000,0.50214,0.87289,1.00000,0.01028,0.60000
failure_stratified_engine_v5,2,1.00,0.00000,0.47447,0.79689,1.00000,0.02404,0.60000
oracle_failure_strata,2,1.00,0.00000,0.51622,0.98182,1.00000,0.00655,0.60000
uncertainty_sampling,3,1.00,0.10000,0.49401,0.97500,0.90000,0.01006,0.60000
failure_prediction_active_learning,3,1.00,0.10000,0.50896,0.90500,0.90000,0.00562,0.60000
calibrated_failure_risk,3,1.00,0.10000,0.50915,0.90500,0.90000,0.00560,0.60000
hybrid_diversity_risk,3,1.00,0.10000,0.51157,0.82500,0.90000,0.04780,0.60000
failure_stratified_engine,3,1.00,0.10000,0.50300,0.95000,0.90000,0.00264,0.60000
failure_stratified_engine_v5,3,1.00,0.10000,0.50646,0.95500,0.90000,0.03278,0.60000
oracle_failure_strata,3,1.00,0.10000,0.49788,0.85500,0.90000,0.00806,0.60000
uncertainty_sampling,4,1.00,0.00000,0.48948,0.66000,1.00000,0.06288,0.90000
failure_prediction_active_learning,4,1.00,0.00000,0.45309,0.57500,1.00000,0.10620,0.90000
calibrated_failure_risk,4,1.00,0.00000,0.45309,0.57500,1.00000,0.10592,0.90000
hybrid_diversity_risk,4,1.00,0.00000,0.39505,0.46522,1.00000,0.13440,0.90000
failure_stratified_engine,4,1.00,0.00000,0.46028,0.62000,1.00000,0.04437,0.90000
failure_stratified_engine_v5,4,1.00,0.00000,0.46746,0.64000,1.00000,0.09287,0.90000
oracle_failure_strata,4,1.00,0.00000,0.48500,0.68000,1.00000,0.04694,0.90000
uncertainty_sampling,5,1.00,0.00000,0.52448,0.96000,1.00000,0.02343,0.90000
failure_prediction_active_learning,5,1.00,0.00000,0.52251,0.88000,1.00000,0.02184,0.90000
calibrated_failure_risk,5,1.00,0.00000,0.52299,0.88000,1.00000,0.02046,0.90000
hybrid_diversity_risk,5,1.00,0.00000,0.50815,0.84000,1.00000,0.06235,0.90000
failure_stratified_engine,5,1.00,0.00000,0.51660,0.88000,1.00000,0.01575,0.90000
failure_stratified_engine_v5,5,1.00,0.00000,0.50434,0.84000,1.00000,0.03309,0.90000
oracle_failure_strata,5,1.00,0.00000,0.51610,0.90000,1.00000,0.01288,0.90000
uncertainty_sampling,6,1.00,0.00000,0.45559,0.61923,1.00000,0.00272,0.70000
failure_prediction_active_learning,6,1.00,0.00000,0.46863,0.73590,1.00000,0.00104,0.70000
calibrated_failure_risk,6,1.00,0.00000,0.46863,0.73590,1.00000,0.00189,0.70000
hybrid_diversity_risk,6,1.00,0.00000,0.46250,0.65769,1.00000,0.01925,0.70000
failure_stratified_engine,6,1.00,0.00000,0.46429,0.72436,1.00000,0.00518,0.70000
failure_stratified_engine_v5,6,1.00,0.00000,0.46444,0.74103,1.00000,0.00209,0.70000
oracle_failure_strata,6,1.00,0.00000,0.47397,0.67308,1.00000,0.00670,0.70000
uncertainty_sampling,7,1.00,0.00000,0.51620,0.88489,1.00000,0.03785,0.80000
failure_prediction_active_learning,7,1.00,0.00000,0.50054,0.88889,1.00000,0.03518,0.80000
calibrated_failure_risk,7,1.00,0.00000,0.50054,0.88889,1.00000,0.04230,0.80000
hybrid_diversity_risk,7,1.00,0.00000,0.51539,0.85689,1.00000,0.10005,0.80000
failure_stratified_engine,7,1.00,0.00000,0.51850,0.88889,1.00000,0.03497,0.80000
failure_stratified_engine_v5,7,1.00,0.00000,0.52271,0.86889,1.00000,0.07165,0.80000
oracle_failure_strata,7,1.00,0.00000,0.52471,0.88889,1.00000,0.03002,0.80000
