method,split,seeds,rounds,mean_robust_success,ci95_robust_success,mean_failure_macro_f1,ci95_failure_macro_f1,mean_rare_failure_recall,ci95_rare_failure_recall,mean_tail_risk,ci95_tail_risk,mean_calibration_error,ci95_calibration_error,mean_safety_violation_rate,ci95_safety_violation_rate,mean_failure_coverage,ci95_failure_coverage
failure_stratified_v5_full,combined_tail_stress,8,5,0.66667,0.11821,0.32128,0.03468,0.57367,0.04299,0.33333,0.11821,0.12865,0.02512,0.15278,0.11411,0.92188,0.04483
failure_stratified_v5_no_calibration_term,combined_tail_stress,8,5,0.66667,0.11821,0.32150,0.03515,0.57402,0.04388,0.33333,0.11821,0.12202,0.02829,0.15278,0.11411,0.92188,0.04483
failure_stratified_v5_no_diversity_penalty,combined_tail_stress,8,5,0.66667,0.11821,0.32137,0.03509,0.57352,0.05527,0.33333,0.11821,0.13170,0.02846,0.15278,0.11411,0.87500,0.00000
failure_stratified_v5_no_mechanism_deficit,combined_tail_stress,8,5,0.69445,0.08231,0.32456,0.03391,0.59071,0.03659,0.31250,0.08955,0.13243,0.03501,0.13889,0.09652,0.93750,0.04630
failure_stratified_v5_no_rare_reweighting,combined_tail_stress,8,5,0.69445,0.08231,0.32042,0.03365,0.57643,0.04490,0.31250,0.08955,0.12998,0.03029,0.13889,0.09652,0.92188,0.04483
failure_stratified_v5_no_tail_risk,combined_tail_stress,8,5,0.69445,0.08231,0.33876,0.03421,0.58986,0.03617,0.31250,0.08955,0.12487,0.03241,0.13889,0.09652,0.95312,0.04483
failure_stratified_v5_no_trace_features,combined_tail_stress,8,5,0.69445,0.08231,0.32142,0.03523,0.58039,0.04864,0.31250,0.08955,0.13579,0.02647,0.13889,0.09652,0.87500,0.00000
failure_stratified_v5_old_score,combined_tail_stress,8,5,0.69445,0.08231,0.32746,0.03436,0.57681,0.03587,0.31250,0.08955,0.13034,0.03446,0.13889,0.09652,0.89062,0.03062
