method,seed,round,rank,row_id,split,policy,success,failure_labels
random_sampling,0,1,0,pool_nominal_task_balance_0_23_angle_compensated,nominal_task_balance,angle_compensated,1,
random_sampling,0,1,1,pool_nominal_task_balance_0_42_center_push,nominal_task_balance,center_push,1,
random_sampling,0,1,2,pool_rare_slip_failures_0_193_fixture_avoid,rare_slip_failures,fixture_avoid,1,
random_sampling,0,1,3,pool_fixture_geometry_shift_0_956_center_push,fixture_geometry_shift,center_push,0,fixture_collision;timeout
random_sampling,0,1,4,pool_rare_mechanism_combo_0_1123_center_push,rare_mechanism_combo,center_push,1,
random_sampling,0,1,5,pool_combined_tail_stress_0_642_aggressive,combined_tail_stress,aggressive,1,slip
random_sampling,0,1,6,pool_compound_sensor_actuator_shift_0_812_friction_probe,compound_sensor_actuator_shift,friction_probe,1,
random_sampling,0,1,7,pool_actuator_limit_failures_0_486_slow_safe,actuator_limit_failures,slow_safe,1,
random_sampling,0,1,8,pool_compound_sensor_actuator_shift_0_778_aggressive,compound_sensor_actuator_shift,aggressive,0,jam;fixture_collision;sensor_dropout;timeout
random_sampling,0,1,9,pool_compound_sensor_actuator_shift_0_802_friction_probe,compound_sensor_actuator_shift,friction_probe,0,slip;timeout
random_sampling,0,1,10,pool_compound_sensor_actuator_shift_0_787_friction_probe,compound_sensor_actuator_shift,friction_probe,0,timeout
random_sampling,0,1,11,pool_rare_mechanism_combo_0_1104_friction_probe,rare_mechanism_combo,friction_probe,0,timeout
random_sampling,0,1,12,pool_out_of_distribution_tail_0_1265_center_push,out_of_distribution_tail,center_push,1,actuator_saturation
random_sampling,0,1,13,pool_rare_slip_failures_0_177_friction_probe,rare_slip_failures,friction_probe,1,
random_sampling,0,1,14,pool_out_of_distribution_tail_0_1269_fixture_avoid,out_of_distribution_tail,fixture_avoid,0,missed_contact;sensor_dropout;timeout
random_sampling,0,1,15,pool_rare_slip_failures_0_214_center_push,rare_slip_failures,center_push,1,
random_sampling,0,1,16,pool_rare_mechanism_combo_0_1118_friction_probe,rare_mechanism_combo,friction_probe,0,sensor_dropout
random_sampling,0,1,17,pool_nominal_task_balance_0_50_aggressive,nominal_task_balance,aggressive,1,
random_sampling,0,1,18,pool_rare_mechanism_combo_0_1121_aggressive,rare_mechanism_combo,aggressive,0,sensor_dropout
random_sampling,0,1,19,pool_compound_sensor_actuator_shift_0_787_center_push,compound_sensor_actuator_shift,center_push,0,sensor_dropout
random_sampling,0,1,20,pool_compound_sensor_actuator_shift_0_785_aggressive,compound_sensor_actuator_shift,aggressive,1,
random_sampling,0,1,21,pool_rare_slip_failures_0_218_fixture_avoid,rare_slip_failures,fixture_avoid,0,slip;missed_contact;timeout
random_sampling,0,1,22,pool_fixture_geometry_shift_0_948_friction_probe,fixture_geometry_shift,friction_probe,0,fixture_collision;timeout
random_sampling,0,1,23,pool_fixture_geometry_shift_0_934_friction_probe,fixture_geometry_shift,friction_probe,0,slip;timeout
random_sampling,0,1,24,pool_fixture_geometry_shift_0_948_angle_compensated,fixture_geometry_shift,angle_compensated,0,fixture_collision;timeout
random_sampling,0,1,25,pool_out_of_distribution_tail_0_1231_center_push,out_of_distribution_tail,center_push,1,actuator_saturation
random_sampling,0,1,26,pool_nominal_task_balance_0_72_angle_compensated,nominal_task_balance,angle_compensated,1,
random_sampling,0,1,27,pool_jammed_fixture_failures_0_334_friction_probe,jammed_fixture_failures,friction_probe,0,missed_contact;timeout
random_sampling,0,1,28,pool_fixture_geometry_shift_0_968_friction_probe,fixture_geometry_shift,friction_probe,0,fixture_collision;timeout
random_sampling,0,1,29,pool_jammed_fixture_failures_0_363_aggressive,jammed_fixture_failures,aggressive,0,fixture_collision;timeout
random_sampling,0,1,30,pool_rare_mechanism_combo_0_1112_angle_compensated,rare_mechanism_combo,angle_compensated,0,timeout
random_sampling,0,1,31,pool_compound_sensor_actuator_shift_0_821_friction_probe,compound_sensor_actuator_shift,friction_probe,1,
random_sampling,0,1,32,pool_out_of_distribution_tail_0_1262_aggressive,out_of_distribution_tail,aggressive,0,sensor_dropout
random_sampling,0,1,33,pool_jammed_fixture_failures_0_374_slow_safe,jammed_fixture_failures,slow_safe,0,fixture_collision;timeout
random_sampling,0,1,34,pool_out_of_distribution_tail_0_1242_slow_safe,out_of_distribution_tail,slow_safe,0,missed_contact;sensor_dropout;timeout
random_sampling,0,1,35,pool_actuator_limit_failures_0_511_center_push,actuator_limit_failures,center_push,1,
random_sampling,0,2,0,pool_combined_tail_stress_0_654_angle_compensated,combined_tail_stress,angle_compensated,1,
random_sampling,0,2,1,pool_rare_slip_failures_0_212_slow_safe,rare_slip_failures,slow_safe,1,
random_sampling,0,2,2,pool_fixture_geometry_shift_0_947_aggressive,fixture_geometry_shift,aggressive,0,slip;missed_contact;timeout
random_sampling,0,2,3,pool_actuator_limit_failures_0_510_aggressive,actuator_limit_failures,aggressive,1,
random_sampling,0,2,4,pool_compound_sensor_actuator_shift_0_793_slow_safe,compound_sensor_actuator_shift,slow_safe,1,slip
random_sampling,0,2,5,pool_compound_sensor_actuator_shift_0_794_fixture_avoid,compound_sensor_actuator_shift,fixture_avoid,0,missed_contact;sensor_dropout;timeout
random_sampling,0,2,6,pool_rare_slip_failures_0_224_angle_compensated,rare_slip_failures,angle_compensated,1,
random_sampling,0,2,7,pool_fixture_geometry_shift_0_962_fixture_avoid,fixture_geometry_shift,fixture_avoid,0,slip;timeout
random_sampling,0,2,8,pool_compound_sensor_actuator_shift_0_816_friction_probe,compound_sensor_actuator_shift,friction_probe,1,
random_sampling,0,2,9,pool_jammed_fixture_failures_0_354_friction_probe,jammed_fixture_failures,friction_probe,0,fixture_collision;timeout
random_sampling,0,2,10,pool_fixture_geometry_shift_0_946_fixture_avoid,fixture_geometry_shift,fixture_avoid,0,slip
random_sampling,0,2,11,pool_rare_slip_failures_0_194_center_push,rare_slip_failures,center_push,1,
random_sampling,0,2,12,pool_nominal_task_balance_0_27_fixture_avoid,nominal_task_balance,fixture_avoid,1,
random_sampling,0,2,13,pool_jammed_fixture_failures_0_361_angle_compensated,jammed_fixture_failures,angle_compensated,0,fixture_collision;timeout
random_sampling,0,2,14,pool_out_of_distribution_tail_0_1270_aggressive,out_of_distribution_tail,aggressive,0,actuator_saturation;sensor_dropout
random_sampling,0,2,15,pool_rare_slip_failures_0_218_slow_safe,rare_slip_failures,slow_safe,1,
random_sampling,0,2,16,pool_nominal_task_balance_0_29_fixture_avoid,nominal_task_balance,fixture_avoid,1,
random_sampling,0,2,17,pool_jammed_fixture_failures_0_361_center_push,jammed_fixture_failures,center_push,0,fixture_collision;timeout
random_sampling,0,2,18,pool_rare_mechanism_combo_0_1080_slow_safe,rare_mechanism_combo,slow_safe,0,missed_contact;sensor_dropout;timeout
random_sampling,0,2,19,pool_out_of_distribution_tail_0_1241_fixture_avoid,out_of_distribution_tail,fixture_avoid,0,missed_contact;sensor_dropout;timeout
random_sampling,0,2,20,pool_rare_mechanism_combo_0_1111_center_push,rare_mechanism_combo,center_push,1,slip
random_sampling,0,2,21,pool_jammed_fixture_failures_0_349_fixture_avoid,jammed_fixture_failures,fixture_avoid,0,missed_contact;timeout
random_sampling,0,2,22,pool_jammed_fixture_failures_0_375_aggressive,jammed_fixture_failures,aggressive,0,fixture_collision;timeout
random_sampling,0,2,23,pool_out_of_distribution_tail_0_1269_aggressive,out_of_distribution_tail,aggressive,0,actuator_saturation;sensor_dropout
random_sampling,0,2,24,pool_nominal_task_balance_0_50_center_push,nominal_task_balance,center_push,1,
random_sampling,0,2,25,pool_fixture_geometry_shift_0_950_friction_probe,fixture_geometry_shift,friction_probe,0,missed_contact;timeout
random_sampling,0,2,26,pool_combined_tail_stress_0_628_aggressive,combined_tail_stress,aggressive,0,jam;fixture_collision;timeout
random_sampling,0,2,27,pool_nominal_task_balance_0_76_fixture_avoid,nominal_task_balance,fixture_avoid,1,
random_sampling,0,2,28,pool_fixture_geometry_shift_0_924_fixture_avoid,fixture_geometry_shift,fixture_avoid,0,slip;missed_contact;timeout
random_sampling,0,2,29,pool_actuator_limit_failures_0_479_angle_compensated,actuator_limit_failures,angle_compensated,1,
random_sampling,0,2,30,pool_rare_mechanism_combo_0_1086_fixture_avoid,rare_mechanism_combo,fixture_avoid,0,missed_contact;sensor_dropout;timeout
random_sampling,0,2,31,pool_fixture_geometry_shift_0_961_friction_probe,fixture_geometry_shift,friction_probe,0,slip;missed_contact;timeout
random_sampling,0,2,32,pool_nominal_task_balance_0_36_angle_compensated,nominal_task_balance,angle_compensated,1,
random_sampling,0,2,33,pool_combined_tail_stress_0_636_fixture_avoid,combined_tail_stress,fixture_avoid,0,missed_contact;timeout
random_sampling,0,2,34,pool_jammed_fixture_failures_0_366_center_push,jammed_fixture_failures,center_push,0,fixture_collision;timeout
random_sampling,0,2,35,pool_fixture_geometry_shift_0_930_friction_probe,fixture_geometry_shift,friction_probe,0,missed_contact;timeout
random_sampling,0,3,0,pool_actuator_limit_failures_0_473_center_push,actuator_limit_failures,center_push,1,
random_sampling,0,3,1,pool_out_of_distribution_tail_0_1240_aggressive,out_of_distribution_tail,aggressive,0,sensor_dropout
random_sampling,0,3,2,pool_actuator_limit_failures_0_500_fixture_avoid,actuator_limit_failures,fixture_avoid,1,
random_sampling,0,3,3,pool_actuator_limit_failures_0_509_slow_safe,actuator_limit_failures,slow_safe,1,
random_sampling,0,3,4,pool_rare_slip_failures_0_191_center_push,rare_slip_failures,center_push,1,
random_sampling,0,3,5,pool_fixture_geometry_shift_0_969_aggressive,fixture_geometry_shift,aggressive,0,fixture_collision;timeout
random_sampling,0,3,6,pool_actuator_limit_failures_0_517_friction_probe,actuator_limit_failures,friction_probe,1,
random_sampling,0,3,7,pool_rare_slip_failures_0_210_center_push,rare_slip_failures,center_push,1,
random_sampling,0,3,8,pool_compound_sensor_actuator_shift_0_781_slow_safe,compound_sensor_actuator_shift,slow_safe,1,
random_sampling,0,3,9,pool_rare_mechanism_combo_0_1095_fixture_avoid,rare_mechanism_combo,fixture_avoid,0,missed_contact;sensor_dropout;timeout
random_sampling,0,3,10,pool_nominal_task_balance_0_59_angle_compensated,nominal_task_balance,angle_compensated,1,
random_sampling,0,3,11,pool_rare_slip_failures_0_191_friction_probe,rare_slip_failures,friction_probe,1,
random_sampling,0,3,12,pool_out_of_distribution_tail_0_1240_angle_compensated,out_of_distribution_tail,angle_compensated,0,sensor_dropout;timeout
random_sampling,0,3,13,pool_rare_mechanism_combo_0_1073_friction_probe,rare_mechanism_combo,friction_probe,0,slip;missed_contact;sensor_dropout;timeout
random_sampling,0,3,14,pool_out_of_distribution_tail_0_1234_center_push,out_of_distribution_tail,center_push,0,sensor_dropout;timeout
random_sampling,0,3,15,pool_out_of_distribution_tail_0_1231_friction_probe,out_of_distribution_tail,friction_probe,1,
random_sampling,0,3,16,pool_compound_sensor_actuator_shift_0_790_aggressive,compound_sensor_actuator_shift,aggressive,0,sensor_dropout
random_sampling,0,3,17,pool_jammed_fixture_failures_0_347_slow_safe,jammed_fixture_failures,slow_safe,0,slip;missed_contact;timeout
random_sampling,0,3,18,pool_rare_mechanism_combo_0_1097_center_push,rare_mechanism_combo,center_push,0,sensor_dropout
random_sampling,0,3,19,pool_rare_mechanism_combo_0_1076_angle_compensated,rare_mechanism_combo,angle_compensated,0,sensor_dropout;timeout
random_sampling,0,3,20,pool_actuator_limit_failures_0_478_slow_safe,actuator_limit_failures,slow_safe,1,
random_sampling,0,3,21,pool_rare_slip_failures_0_204_slow_safe,rare_slip_failures,slow_safe,1,
random_sampling,0,3,22,pool_jammed_fixture_failures_0_324_angle_compensated,jammed_fixture_failures,angle_compensated,0,fixture_collision;timeout
random_sampling,0,3,23,pool_fixture_geometry_shift_0_972_center_push,fixture_geometry_shift,center_push,0,fixture_collision;timeout
random_sampling,0,3,24,pool_jammed_fixture_failures_0_353_center_push,jammed_fixture_failures,center_push,0,jam;fixture_collision;timeout
random_sampling,0,3,25,pool_out_of_distribution_tail_0_1274_friction_probe,out_of_distribution_tail,friction_probe,1,
random_sampling,0,3,26,pool_compound_sensor_actuator_shift_0_778_friction_probe,compound_sensor_actuator_shift,friction_probe,0,jam;fixture_collision;sensor_dropout;timeout
random_sampling,0,3,27,pool_combined_tail_stress_0_650_friction_probe,combined_tail_stress,friction_probe,1,
random_sampling,0,3,28,pool_rare_slip_failures_0_222_slow_safe,rare_slip_failures,slow_safe,1,
random_sampling,0,3,29,pool_nominal_task_balance_0_46_angle_compensated,nominal_task_balance,angle_compensated,1,
random_sampling,0,3,30,pool_out_of_distribution_tail_0_1244_angle_compensated,out_of_distribution_tail,angle_compensated,0,missed_contact;sensor_dropout;timeout
random_sampling,0,3,31,pool_fixture_geometry_shift_0_969_friction_probe,fixture_geometry_shift,friction_probe,1,
random_sampling,0,3,32,pool_compound_sensor_actuator_shift_0_808_fixture_avoid,compound_sensor_actuator_shift,fixture_avoid,0,sensor_dropout;timeout
random_sampling,0,3,33,pool_fixture_geometry_shift_0_952_center_push,fixture_geometry_shift,center_push,0,fixture_collision;timeout
random_sampling,0,3,34,pool_combined_tail_stress_0_650_slow_safe,combined_tail_stress,slow_safe,1,
random_sampling,0,3,35,pool_out_of_distribution_tail_0_1236_center_push,out_of_distribution_tail,center_push,0,sensor_dropout
