method,split,seeds,rounds,mean_robust_success,ci95_robust_success,mean_failure_macro_f1,ci95_failure_macro_f1,mean_rare_failure_recall,ci95_rare_failure_recall,mean_tail_risk,ci95_tail_risk,mean_calibration_error,ci95_calibration_error,mean_safety_violation_rate,ci95_safety_violation_rate,mean_failure_coverage,ci95_failure_coverage
balanced_failure_replay,combined_extreme,8,5,0.53935,0.07241,0.34013,0.01509,0.55247,0.02995,0.46065,0.07241,0.14509,0.02334,0.07176,0.02216,0.90625,0.04010
balanced_failure_replay,hard_regime,8,5,0.47500,0.04615,0.32416,0.01241,0.49541,0.02664,0.52500,0.04615,0.12825,0.02138,0.12778,0.01235,0.90625,0.04010
calibrated_failure_risk,combined_extreme,8,5,0.53935,0.07241,0.32963,0.01402,0.48150,0.01833,0.46065,0.07241,0.14019,0.02337,0.07176,0.02216,0.90625,0.04010
calibrated_failure_risk,hard_regime,8,5,0.47500,0.04615,0.31581,0.00995,0.45608,0.01990,0.52500,0.04615,0.13021,0.02286,0.12778,0.01235,0.90625,0.04010
failure_prediction_active_learning,combined_extreme,8,5,0.53935,0.07241,0.32902,0.01302,0.48392,0.01611,0.46065,0.07241,0.14033,0.02535,0.07176,0.02216,0.90625,0.04010
failure_prediction_active_learning,hard_regime,8,5,0.47500,0.04615,0.31490,0.01012,0.45643,0.01770,0.52500,0.04615,0.13205,0.02500,0.12778,0.01235,0.90625,0.04010
failure_stratified_engine,combined_extreme,8,5,0.52778,0.06615,0.32931,0.01407,0.54387,0.03348,0.47222,0.06615,0.17439,0.02483,0.07407,0.02169,0.92188,0.04483
failure_stratified_engine,hard_regime,8,5,0.46667,0.04316,0.31874,0.01067,0.50622,0.02032,0.53333,0.04316,0.15355,0.02088,0.13333,0.01746,0.92188,0.04483
failure_stratified_engine_v5,combined_extreme,8,5,0.52778,0.06615,0.33253,0.01464,0.55214,0.02714,0.47222,0.06615,0.14476,0.01693,0.07407,0.02169,0.96875,0.04010
failure_stratified_engine_v5,hard_regime,8,5,0.46667,0.04316,0.31831,0.01114,0.48788,0.02579,0.53333,0.04316,0.12755,0.01565,0.13333,0.01746,0.96875,0.04010
gradient_boosted_failure_active,combined_extreme,8,5,0.53935,0.07241,0.34092,0.02041,0.55767,0.02136,0.46065,0.07241,0.14783,0.02517,0.07176,0.02216,0.90625,0.04010
gradient_boosted_failure_active,hard_regime,8,5,0.47500,0.04615,0.32561,0.01322,0.50826,0.02917,0.52500,0.04615,0.12978,0.02109,0.12778,0.01235,0.90625,0.04010
greedy_oracle_success_upper,combined_extreme,8,5,0.53935,0.07241,0.32152,0.01270,0.53933,0.02409,0.46065,0.07241,0.15466,0.02937,0.07176,0.02216,0.95312,0.04483
greedy_oracle_success_upper,hard_regime,8,5,0.47500,0.04615,0.31935,0.00959,0.53621,0.01436,0.52500,0.04615,0.13775,0.02334,0.12778,0.01235,0.95312,0.04483
hybrid_diversity_risk,combined_extreme,8,5,0.53935,0.07241,0.33433,0.01207,0.53904,0.02550,0.46065,0.07241,0.14100,0.02720,0.07176,0.02216,0.92188,0.04483
hybrid_diversity_risk,hard_regime,8,5,0.47500,0.04615,0.32355,0.00903,0.49303,0.02265,0.52500,0.04615,0.12415,0.01945,0.12778,0.01235,0.92188,0.04483
oracle_failure_strata,combined_extreme,8,5,0.53935,0.07241,0.31962,0.01154,0.53377,0.02578,0.46065,0.07241,0.15261,0.02914,0.07176,0.02216,0.98438,0.03062
oracle_failure_strata,hard_regime,8,5,0.47500,0.04615,0.31665,0.00894,0.52642,0.02088,0.52500,0.04615,0.13986,0.02525,0.12778,0.01235,0.98438,0.03062
random_forest_failure_active,combined_extreme,8,5,0.53935,0.07241,0.33085,0.01579,0.54728,0.02069,0.46065,0.07241,0.15502,0.02371,0.07176,0.02216,0.90625,0.04010
random_forest_failure_active,hard_regime,8,5,0.47500,0.04615,0.31550,0.01147,0.49137,0.02222,0.52500,0.04615,0.13353,0.02298,0.12778,0.01235,0.90625,0.04010
random_sampling,combined_extreme,8,5,0.53935,0.07241,0.33595,0.01555,0.54316,0.02575,0.46065,0.07241,0.14546,0.02282,0.07176,0.02216,0.90625,0.04010
random_sampling,hard_regime,8,5,0.47500,0.04615,0.32284,0.01107,0.49958,0.02119,0.52500,0.04615,0.12735,0.01802,0.12778,0.01235,0.90625,0.04010
state_diversity_coreset,combined_extreme,8,5,0.52083,0.07402,0.32482,0.01313,0.53747,0.01936,0.47917,0.07402,0.14516,0.02357,0.06713,0.01932,0.98438,0.03062
state_diversity_coreset,hard_regime,8,5,0.46250,0.04216,0.31681,0.00868,0.51663,0.01585,0.53750,0.04216,0.12599,0.01908,0.12361,0.01195,0.98438,0.03062
tail_risk_active_learning,combined_extreme,8,5,0.53935,0.07241,0.33863,0.01568,0.51113,0.02145,0.46065,0.07241,0.14534,0.02219,0.07176,0.02216,0.90625,0.04010
tail_risk_active_learning,hard_regime,8,5,0.47500,0.04615,0.32741,0.01053,0.47898,0.02280,0.52500,0.04615,0.12936,0.01886,0.12778,0.01235,0.90625,0.04010
task_label_stratification,combined_extreme,8,5,0.52315,0.06570,0.32956,0.01182,0.53151,0.02489,0.47685,0.06570,0.13876,0.02399,0.06713,0.02561,0.90625,0.04010
task_label_stratification,hard_regime,8,5,0.46528,0.04325,0.31884,0.00956,0.49270,0.02011,0.53472,0.04325,0.12282,0.02052,0.11389,0.02844,0.90625,0.04010
uncertainty_sampling,combined_extreme,8,5,0.53935,0.07241,0.33316,0.01414,0.53247,0.02758,0.46065,0.07241,0.14064,0.02488,0.07176,0.02216,0.90625,0.04010
uncertainty_sampling,hard_regime,8,5,0.47500,0.04615,0.31937,0.00867,0.49026,0.02494,0.52500,0.04615,0.12767,0.02009,0.12778,0.01235,0.90625,0.04010
