method,stress_level,seeds,mean_robust_success,ci95_robust_success,mean_failure_macro_f1,ci95_failure_macro_f1,mean_rare_failure_recall,ci95_rare_failure_recall,mean_tail_risk,ci95_tail_risk,mean_safety_violation_rate,ci95_safety_violation_rate
failure_prediction_active_learning,0.00,7,1.00000,0.00000,0.01071,0.01727,0.02857,0.05600,0.00000,0.00000,0.00000,0.00000
failure_prediction_active_learning,0.20,7,0.94286,0.05829,0.06812,0.04395,0.05714,0.07230,0.05714,0.05829,0.02857,0.03615
failure_prediction_active_learning,0.40,7,0.57143,0.16407,0.13171,0.04422,0.06020,0.05431,0.42857,0.16407,0.28571,0.16246
failure_prediction_active_learning,0.60,7,0.07143,0.05600,0.20901,0.02747,0.19837,0.06162,0.94286,0.03960,0.84286,0.07230
failure_prediction_active_learning,0.80,7,0.00000,0.00000,0.30162,0.02810,0.39051,0.02453,1.00000,0.00000,0.75714,0.14728
failure_prediction_active_learning,1.00,7,0.01429,0.02800,0.35081,0.05121,0.44125,0.05053,0.98571,0.02800,0.70000,0.10477
failure_stratified_engine,0.00,7,1.00000,0.00000,0.00920,0.01232,0.02857,0.05600,0.00000,0.00000,0.00000,0.00000
failure_stratified_engine,0.20,7,0.95714,0.05829,0.08947,0.04748,0.06667,0.11043,0.04286,0.05829,0.02857,0.03615
failure_stratified_engine,0.40,7,0.55714,0.15921,0.18348,0.03950,0.08821,0.03959,0.44286,0.15921,0.32857,0.16955
failure_stratified_engine,0.60,7,0.04286,0.03960,0.27781,0.03747,0.30889,0.06068,0.95714,0.03960,0.80000,0.12097
failure_stratified_engine,0.80,7,0.00000,0.00000,0.38356,0.04352,0.49395,0.04674,1.00000,0.00000,0.70000,0.15421
failure_stratified_engine,1.00,7,0.01429,0.02800,0.40249,0.05768,0.56667,0.12402,0.98571,0.02800,0.68571,0.18852
oracle_failure_strata,0.00,7,1.00000,0.00000,0.00714,0.01400,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
oracle_failure_strata,0.20,7,0.94286,0.05829,0.07400,0.02998,0.05238,0.05677,0.05714,0.05829,0.02857,0.03615
oracle_failure_strata,0.40,7,0.57143,0.16407,0.15845,0.05071,0.06754,0.05245,0.42857,0.16407,0.28571,0.16246
oracle_failure_strata,0.60,7,0.07143,0.05600,0.24774,0.03393,0.31804,0.03307,0.94286,0.03960,0.84286,0.07230
oracle_failure_strata,0.80,7,0.00000,0.00000,0.33381,0.04064,0.44916,0.03566,1.00000,0.00000,0.75714,0.14728
oracle_failure_strata,1.00,7,0.01429,0.02800,0.37868,0.05484,0.49568,0.05840,0.98571,0.02800,0.70000,0.10477
uncertainty_sampling,0.00,7,1.00000,0.00000,0.00634,0.00891,0.02857,0.05600,0.00000,0.00000,0.00000,0.00000
uncertainty_sampling,0.20,7,0.94286,0.05829,0.08928,0.05009,0.11429,0.11657,0.05714,0.05829,0.02857,0.03615
uncertainty_sampling,0.40,7,0.57143,0.16407,0.19206,0.04990,0.13615,0.08839,0.42857,0.16407,0.28571,0.16246
uncertainty_sampling,0.60,7,0.07143,0.05600,0.27113,0.03769,0.31214,0.05556,0.94286,0.03960,0.84286,0.07230
uncertainty_sampling,0.80,7,0.00000,0.00000,0.38751,0.04796,0.51438,0.06893,1.00000,0.00000,0.75714,0.14728
uncertainty_sampling,1.00,7,0.01429,0.02800,0.40337,0.04816,0.54729,0.08399,0.98571,0.02800,0.70000,0.10477
